,Season,Team,Player,Direction,Method
639,2018,ST KILDA,Maverick Weller,Outs,del
640,2018,ST KILDA,Nathan Wright,Outs,del
641,2018,SYDNEY,Jake Brown,Outs,del
642,2018,SYDNEY,Jordan Foote,Outs,del
643,2018,SYDNEY,Dan Hannebery,Outs,trade
644,2018,SYDNEY,Alex Johnson,Outs,del
645,2018,SYDNEY,Harry Marsh,Outs,del
646,2018,SYDNEY,Nic Newman,Outs,trade
647,2018,SYDNEY,Daniel Robinson,Outs,del
648,2018,SYDNEY,Gary Rohan,Outs,trade
649,2018,SYDNEY,Angus Styles,Outs,del
650,2018,SYDNEY,Kurt Tippett,Outs,ret
651,2018,SYDNEY,Dean Towers,Outs,del
652,2018,WEST COAST,Tarir Bayok,Outs,del
653,2018,WEST COAST,Ryan Burrows,Outs,del
654,2018,WEST COAST,Callan England,Outs,del
655,2018,WEST COAST,Malcolm Karpany,Outs,del
656,2018,WEST COAST,Mark LeCras,Outs,ret
657,2018,WEST COAST,Scott Lycett,Outs,RFA
658,2018,WEST COAST,Eric Mackenzie,Outs,ret
659,2018,WEST COAST,Tony Olango,Outs,del
660,2018,WEST COAST,Luke Partington,Outs,del
661,2018,WESTERN BULLDOGS,Marcus Adams,Outs,trade
662,2018,WESTERN BULLDOGS,Shane Biggs,Outs,ret
663,2018,WESTERN BULLDOGS,Tom Campbell,Outs,del
664,2018,WESTERN BULLDOGS,Kieran Collins,Outs,del
665,2018,WESTERN BULLDOGS,Luke Dahlhaus,Outs,FA
666,2018,WESTERN BULLDOGS,Mitch Honeychurch,Outs,del
667,2018,WESTERN BULLDOGS,Nathan Mullenger-McHugh,Outs,del
668,2018,WESTERN BULLDOGS,Jack Redpath,Outs,ret
669,2018,WESTERN BULLDOGS,Jordan Roughead,Outs,trade
670,2018,WESTERN BULLDOGS,Clay Smith,Outs,ret
