"","X.2","X.1","X","Date","Kick.Off..local.","Home.Team","Away.Team","Venue","Home.Score","Away.Score","Play.Off.Game.","Home.Goals","Home.Behinds","Away.Goals","Away.Behinds","Home.Odds","Away.Odds","Bookmakers.Surveyed","Home.Odds.Open","Home.Odds.Min","Home.Odds.Max","Home.Odds.Close","Away.Odds.Open","Away.Odds.Min","Away.Odds.Max","Away.Odds.Close","Home.Line.Open","Home.Line.Min","Home.Line.Max","Home.Line.Close","Away.Line.Open","Away.Line.Min","Away.Line.Max","Away.Line.Close","Home.Line.Odds.Open","Home.Line.Odds.Min","Home.Line.Odds.Max","Home.Line.Odds.Close","Away.Line.Odds.Open","Away.Line.Odds.Min","Away.Line.Odds.Max","Away.Line.Odds.Close","Total.Score.Open","Total.Score.Min","Total.Score.Max","Total.Score.Close","Total.Score.Over.Open","Total.Score.Over.Min","Total.Score.Over.Max","Total.Score.Over.Close","Total.Score.Under.Open","Total.Score.Under.Min","Total.Score.Under.Max","Total.Score.Under.Close","Notes","Home","Favorite","Underdog","Differential"
"502",502,502,502,"2017","17:40:00","Fremantle","Western Bulldogs","Domain Stadium",89,73,NA,13,11,10,13,4.88,1.18,14,5.2,4.74,5.43,5.07,1.181,1.17,1.222,1.202,16.5,16.5,34.5,32.5,-16.5,-34.5,-16.5,-32.5,1.943,1.943,1.99,1.925,1.943,1.9,1.943,1.961,180.5,177.5,180.5,177.5,1.925,1.854,2.03,1.925,1.925,1.925,1.925,1.925,NA,4.88,1.18,4.88,3.7
"503",503,503,503,"2017","19:10:00","Port Adelaide","Adelaide","Adelaide Oval",83,100,NA,12,11,15,10,2.32,1.61,14,2.48,2.23,2.48,2.32,1.574,1.574,1.694,1.671,15.5,6.5,15.5,6.5,-15.5,-15.5,-6.5,-6.5,1.943,1.943,1.943,1.943,1.943,1.925,1.943,1.943,202.5,198.5,202.5,199.5,1.925,1.909,2,1.909,1.925,1.943,1.925,1.943,NA,2.32,1.61,2.32,0.71
"504",504,504,504,"2017","16:35:00","Geelong","Melbourne","Marvel Stadium",126,97,NA,20,6,13,19,1.4,2.96,14,1.387,1.387,1.434,1.425,3.15,2.93,3.2,3.05,-12.5,-18.5,-9.5,-16.5,12.5,9.5,18.5,16.5,1.943,1.833,1.961,1.961,1.943,1.892,2.03,1.925,197.5,191.5,197.5,194.5,1.925,1.751,1.925,1.925,1.925,1.877,1.925,1.925,NA,1.4,1.4,2.96,1.56
"505",505,505,505,"2017","14:10:00","Richmond","West Coast","MCG",76,65,NA,11,10,8,17,2.56,1.51,13,2.6,2.59,2.69,2.59,1.529,1.5,1.555,1.555,10.5,8.5,13.5,12.5,-10.5,-13.5,-8.5,-12.5,1.943,1.909,1.952,1.943,1.943,1.9,1.943,1.943,193.5,188.5,193.5,190.5,1.925,1.826,1.98,1.884,1.925,1.862,1.925,1.97,NA,2.56,1.51,2.56,1.05
"506",506,506,506,"2017","13:45:00","North Melbourne","GWS Giants","Blundstone Arena",67,109,NA,10,7,15,19,4.31,1.22,14,4.26,3.94,4.52,4.52,1.243,1.23,1.289,1.238,36.5,24.5,36.5,28.5,-36.5,-36.5,-24.5,-28.5,1.943,1.909,1.943,1.97,1.943,1.925,1.98,1.917,201.5,197.5,205.5,205.5,1.925,1.781,1.892,1.892,1.925,1.925,1.961,1.961,NA,4.31,1.22,4.31,3.09
"507",507,507,507,"2017","19:50:00","Sydney","Collingwood","SCG",79,80,NA,11,13,11,14,1.45,2.74,14,1.384,1.384,1.526,1.492,3.16,2.61,3.16,2.78,-20.5,-23.5,-10.5,-10.5,20.5,10.5,23.5,10.5,1.943,1.892,1.97,1.917,1.943,1.917,1.961,1.97,186.5,185.5,186.5,186.5,1.925,1.892,2.11,1.934,1.925,1.917,1.925,1.917,NA,1.45,1.45,2.74,1.29
"508",508,508,508,"2017","16:10:00","Port Adelaide","Fremantle","Adelaide Oval",145,56,NA,22,13,8,8,1.21,4.5,14,1.255,1.217,1.273,1.217,4.13,3.94,4.81,4.81,-23.5,-30.5,-23.5,-30.5,23.5,23.5,30.5,30.5,1.925,1.9,1.925,1.9,1.925,1.925,1.99,1.99,179.5,179.5,190.5,184.5,1.925,1.775,1.925,1.909,1.925,1.925,1.925,1.943,NA,1.21,1.21,4.5,3.29
"509",509,509,509,"2017","15:20:00","Melbourne","Carlton","MCG",86,64,NA,13,8,9,10,1.21,4.35,14,1.25,1.222,1.265,1.243,4.19,4.02,4.54,4.44,-30.5,-32.5,-24.5,-27.5,30.5,24.5,32.5,27.5,1.925,1.934,1.952,1.943,1.925,1.925,1.917,1.943,181.5,181.5,192.5,191.5,1.925,1.833,2,2,1.925,1.925,1.925,1.854,NA,1.21,1.21,4.35,3.14
"510",510,510,510,"2017","13:10:00","Geelong","North Melbourne","Marvel Stadium",112,111,NA,17,10,17,9,1.18,4.86,14,1.229,1.184,1.263,1.196,4.44,4.05,5.41,5.18,-29.5,-32.5,-25,-32.5,29.5,25,32.5,32.5,1.925,1.892,1.925,1.98,1.925,1.925,2,1.909,189.5,189.5,202.5,201.5,1.925,1.925,1.892,1.884,1.925,1.925,1.961,1.97,NA,1.18,1.18,4.86,3.68
"511",511,511,511,"2017","16:40:00","West Coast","St Kilda","Domain Stadium",116,97,NA,18,8,13,19,1.14,5.63,15,1.157,1.133,1.187,1.167,5.72,5.1,6.41,5.5,-35.5,-39.5,-34.5,-38.5,35.5,34.5,39.5,38.5,1.925,1.9,1.925,1.934,1.925,1.925,1.952,1.917,193.5,193.5,195.5,193.5,1.925,1.854,2.02,1.877,1.925,1.925,1.934,1.98,NA,1.14,1.14,5.63,4.49
"512",512,512,512,"2017","18:25:00","Brisbane","Essendon","Gabba",84,111,NA,12,12,17,9,2.9,1.41,14,3.28,2.69,3.28,3.01,1.362,1.362,1.5,1.434,16.5,14,18,15.5,-16.5,-18,-14,-15.5,1.925,1.925,1.934,1.934,1.925,1.917,1.925,1.952,185.5,185.5,197.5,197.5,1.925,1.847,1.961,1.943,1.925,1.925,1.961,1.909,NA,2.9,1.41,2.9,1.49
"513",513,513,513,"2017","16:35:00","GWS Giants","Gold Coast","Spotless Stadium",160,58,NA,24,16,8,10,1.12,6.37,14,1.164,1.148,1.164,1.148,5.56,5.56,5.97,5.97,-37.5,-42.5,-35.5,-40.5,37.5,35.5,42.5,40.5,1.925,1.917,1.943,1.9,1.925,1.925,1.97,1.99,195.5,195.5,203.5,203.5,1.925,1.833,2,1.892,1.925,1.925,1.961,1.961,NA,1.12,1.12,6.37,5.25
"514",514,514,514,"2017","13:45:00","Hawthorn","Adelaide","MCG",89,113,NA,13,11,16,17,2.04,1.78,14,2.19,2.02,2.32,2.02,1.719,1.645,1.869,1.869,5.5,2.5,5.5,2.5,-5.5,-5.5,-2.5,-2.5,1.925,1.877,2.01,1.925,1.925,1.884,2.01,1.961,198.5,198.5,202.5,202.5,1.925,1.833,1.961,1.884,1.925,1.925,2.01,1.97,NA,2.04,1.78,2.04,0.26
"515",515,515,515,"2017","19:50:00","Western Bulldogs","Sydney","Marvel Stadium",110,87,NA,16,14,13,9,1.39,3.01,14,1.505,1.358,1.518,1.413,2.67,2.63,3.41,3.11,-10.5,-22.5,-10.5,-19.5,10.5,10.5,22.5,19.5,1.925,1.9,1.925,2.01,1.925,1.925,1.99,1.884,179.5,177.5,180.5,177.5,1.961,1.729,2.05,1.892,1.892,1.925,1.961,1.961,NA,1.39,1.39,3.01,1.62
"516",516,516,516,"2017","19:20:00","Richmond","Collingwood","MCG",99,80,NA,14,15,11,14,2.14,1.71,14,2.29,2.13,2.3,2.22,1.662,1.662,1.787,1.729,3.5,3.5,5.5,5.5,-3.5,-5.5,-3.5,-5.5,1.925,1.925,2.04,2.04,1.925,1.854,1.925,1.854,188.5,187.5,190.5,187.5,1.97,1.961,1.934,1.961,1.884,1.892,1.925,1.892,NA,2.14,1.71,2.14,0.43
"517",517,517,517,"2017","16:40:00","Fremantle","Geelong","Domain Stadium",73,115,NA,10,13,18,7,2.23,1.66,15,2.76,2.28,2.76,2.29,1.478,1.478,1.694,1.689,12.5,7.5,15.5,7.5,-12.5,-15.5,-7.5,-7.5,1.925,1.892,1.98,1.961,1.925,1.877,2,1.925,166.5,166.5,175.5,175.5,1.892,1.763,1.909,1.909,1.961,1.961,1.952,1.943,NA,2.23,1.66,2.23,0.57
"518",518,518,518,"2017","14:50:00","Adelaide","GWS Giants","Adelaide Oval",147,91,NA,22,15,14,7,2.25,1.65,14,1.99,1.98,2.35,2.35,1.862,1.657,1.877,1.657,8.5,2.5,8.5,6.5,-8.5,-8.5,-2.5,-6.5,1.925,1.769,1.925,1.98,1.925,1.925,2.11,1.909,192.5,192.5,199.5,199.5,1.925,1.925,1.952,1.925,1.925,1.925,2.03,1.925,NA,2.25,1.65,2.25,0.6
"519",519,519,519,"2017","13:10:00","North Melbourne","West Coast","Marvel Stadium",93,136,NA,13,15,21,10,3.4,1.32,15,3.21,3.21,3.53,3.47,1.375,1.324,1.375,1.333,15.5,15,23.5,22.5,-15.5,-23.5,-15,-22.5,1.925,1.925,1.925,1.925,1.925,1.925,1.925,1.961,182.5,182.5,186.5,186.5,1.925,1.862,1.909,1.909,1.925,1.909,2,1.943,NA,3.4,1.32,3.4,2.08
"520",520,520,520,"2017","19:05:00","Gold Coast","Brisbane","Metricon Stadium",96,98,NA,14,12,15,8,1.28,3.67,15,1.301,1.278,1.326,1.326,3.7,3.63,4.05,3.63,-18.5,-26.5,-18.5,-25.5,18.5,18.5,26.5,25.5,1.925,1.892,1.925,1.98,1.925,1.925,2,1.909,185.5,185.5,191.5,191.5,1.925,1.757,1.952,1.925,1.925,1.925,1.99,1.925,NA,1.28,1.28,3.67,2.39
"521",521,521,521,"2017","19:25:00","Essendon","Hawthorn","MCG",116,91,NA,17,14,12,19,3.16,1.36,15,3.17,2.94,3.58,3.24,1.383,1.333,1.431,1.387,10.5,10.5,22.5,22.5,-10.5,-22.5,-10.5,-22.5,1.925,1.925,2.03,1.917,1.925,1.862,1.925,1.97,182.5,182.5,182.5,182.5,1.925,1.877,2.03,1.917,1.925,1.833,1.98,1.934,NA,3.16,1.36,3.16,1.8
"522",522,522,522,"2017","16:35:00","St Kilda","Melbourne","Marvel Stadium",90,120,NA,13,12,18,12,1.65,2.25,15,1.675,1.625,1.694,1.625,2.26,2.26,2.42,2.42,-2.5,-8,-2.5,-7.5,2.5,2.5,8,7.5,2.1,1.925,2.1,1.877,1.775,1.775,1.925,2.01,183.5,183.5,189.5,188.5,1.892,1.892,2.09,1.934,1.961,1.961,1.787,1.917,NA,1.65,1.65,2.25,0.6
"523",523,523,523,"2017","16:35:00","Sydney","Port Adelaide","SCG",82,110,NA,12,10,17,8,1.28,3.7,15,1.303,1.284,1.348,1.298,3.69,3.37,3.86,3.86,-26.5,-26.5,-18.5,-21.5,26.5,18.5,26.5,21.5,1.925,1.833,1.925,1.909,1.925,1.925,2.03,1.98,169.5,169.5,173.5,173.5,1.925,1.833,2,2,1.925,1.925,1.925,1.854,NA,1.28,1.28,3.7,2.42
"524",524,524,524,"2017","19:50:00","Collingwood","Western Bulldogs","MCG",86,100,NA,12,14,15,10,2.88,1.41,15,2.91,2.89,3.16,2.99,1.438,1.384,1.465,1.44,14.5,14.5,17.5,15.5,-14.5,-17.5,-14.5,-15.5,1.925,1.925,1.952,1.934,1.925,1.9,1.925,1.952,172.5,172.5,176.5,176.5,1.925,1.813,1.847,1.847,1.925,1.925,2.01,2.01,NA,2.88,1.41,2.88,1.47
"525",525,525,525,"2017","19:20:00","Carlton","Richmond","MCG",89,132,NA,14,5,20,12,2.9,1.42,15,2.98,2.55,3.06,2.93,1.421,1.413,1.546,1.454,15.5,9.5,17.5,13.5,-15.5,-17.5,-9.5,-13.5,1.925,1.925,1.892,1.943,1.925,1.961,1.925,1.943,169.5,168.5,169.5,169.5,1.925,1.757,2.04,1.925,1.925,1.925,2.03,1.925,NA,2.9,1.42,2.9,1.48
"526",526,526,526,"2016","14:30:00","Sydney","Western Bulldogs","MCG",67,89,"Y",10,7,13,11,1.51,2.6,14,1.571,1.46,1.632,1.46,2.49,2.4,2.94,2.94,-11.5,-11.5,-10.5,-11.5,11.5,10.5,11.5,11.5,1.925,1.917,2.01,1.917,1.925,1.884,1.99,1.99,165.5,164.5,165.5,164.5,1.925,1.98,2.04,1.98,1.925,1.877,1.961,1.877,NA,1.51,1.51,2.6,1.09
"527",527,527,527,"2016","17:15:00","GWS Giants","Western Bulldogs","Spotless Stadium",83,89,"Y",12,11,13,11,1.38,3.04,13,1.476,1.35,1.476,1.434,2.77,2.77,3.52,3.05,-13.5,-22.5,-13.5,-21.5,13.5,13.5,22.5,21.5,1.925,1.9,1.925,2.02,1.925,1.925,2.01,1.884,168.5,168.5,170.5,170.5,1.925,1.854,2.02,2.01,1.925,1.925,1.97,1.847,NA,1.38,1.38,3.04,1.66
"528",528,528,528,"2016","19:50:00","Geelong","Sydney","MCG",60,97,"Y",8,12,15,7,1.66,2.23,13,1.666,1.609,1.729,1.666,2.28,2.24,2.46,2.36,-7.5,-9.5,-7.5,-8.5,7.5,7.5,9.5,8.5,1.925,1.909,2.07,1.934,1.925,1.8,1.99,1.97,170.5,166.5,170.5,166.5,1.925,1.952,2.02,1.952,1.925,1.9,1.925,1.9,NA,1.66,1.66,2.23,0.57
"529",529,529,529,"2016","19:25:00","Sydney","Adelaide","SCG",118,82,"Y",18,10,12,10,1.59,2.38,14,1.564,1.564,1.649,1.613,2.5,2.35,2.52,2.47,-12.5,-12.5,-7.5,-9.5,12.5,7.5,12.5,9.5,1.925,1.925,1.952,1.952,1.925,1.925,1.925,1.952,176.5,176.5,177.5,176.5,1.925,1.8,1.943,1.952,1.925,1.862,1.952,1.9,NA,1.59,1.59,2.38,0.79
"530",530,530,530,"2016","19:50:00","Hawthorn","Western Bulldogs","MCG",84,107,"Y",12,12,16,11,1.55,2.46,14,1.578,1.555,1.609,1.571,2.47,2.4,2.58,2.58,-13.5,-13.5,-9.5,-9.5,13.5,9.5,13.5,9.5,1.925,1.925,1.98,1.98,1.925,1.925,1.925,1.925,163.5,163,164.5,164.5,1.925,1.925,1.952,1.925,1.925,1.925,1.952,1.925,NA,1.55,1.55,2.46,0.91
"531",531,531,531,"2016","19:10:00","Adelaide","North Melbourne","Adelaide Oval",141,79,"Y",21,15,12,7,1.15,5.48,14,1.188,1.143,1.188,1.166,5.07,5.07,6.46,5.98,-30.5,-42.5,-30.5,-38.5,30.5,30.5,42.5,38.5,1.925,1.917,1.925,1.99,1.925,1.925,1.97,1.917,176.5,176.5,180,180,1.925,1.925,2.04,2.02,1.925,1.925,1.99,1.84,NA,1.15,1.15,5.48,4.33
"532",532,532,532,"2016","15:20:00","Sydney","GWS Giants","ANZ Stadium",55,91,"Y",7,13,12,19,1.5,2.59,14,1.416,1.4,1.574,1.574,3.01,2.57,3.18,2.57,-15.5,-15.5,-11.5,-11.5,15.5,11.5,15.5,11.5,1.925,1.925,2.06,2.04,1.925,1.854,1.961,1.869,171.5,170.5,171.5,171.5,1.925,1.806,2.06,1.869,1.925,2.06,2.01,1.99,NA,1.5,1.5,2.59,1.09
"533",533,533,533,"2016","19:50:00","Geelong","Hawthorn","MCG",85,83,"Y",12,13,12,11,1.62,2.3,14,1.606,1.581,1.689,1.689,2.4,2.31,2.55,2.31,-7.5,-10.5,-7.5,-8.5,7.5,7.5,10.5,8.5,1.925,1.943,1.925,1.98,1.925,1.925,1.961,1.925,154.5,151.5,161.5,161.5,1.925,1.833,1.97,1.97,1.925,1.862,1.884,1.884,NA,1.62,1.62,2.3,0.68
"534",534,534,534,"2016","18:10:00","West Coast","Western Bulldogs","Domain Stadium",52,99,"Y",7,10,14,15,1.26,3.89,14,1.222,1.222,1.309,1.285,4.54,3.83,4.54,4.05,-26.5,-28.5,-22.5,-23.5,26.5,22.5,28.5,23.5,1.925,1.892,2.04,1.943,1.925,1.869,1.961,1.961,158.5,158.5,162.5,160.5,1.925,1.862,1.952,1.99,1.925,1.925,2.02,1.862,NA,1.26,1.26,3.89,2.63
"535",535,535,535,"2016","14:40:00","Fremantle","Western Bulldogs","Domain Stadium",69,49,NA,10,9,6,13,2.85,1.44,14,3.43,2.8,3.54,3.1,1.338,1.338,1.5,1.425,21.5,12.5,21.5,12.5,-21.5,-21.5,-12.5,-12.5,1.925,1.934,1.925,1.952,1.925,1.925,1.97,1.952,156.5,156.5,159.5,159.5,1.925,1.884,1.884,1.884,1.925,1.833,1.97,1.97,NA,2.85,1.44,2.85,1.41
"536",536,536,536,"2016","15:20:00","Hawthorn","Collingwood","MCG",112,111,NA,17,10,17,9,1.29,3.62,14,1.222,1.222,1.332,1.322,4.54,3.59,4.54,3.73,-30.5,-30.5,-19.5,-19.5,30.5,19.5,30.5,19.5,1.98,1.98,2.01,2.01,1.877,1.9,1.877,1.9,179.5,177.5,181.5,177.5,1.925,1.9,1.943,1.99,1.925,1.862,1.909,1.862,NA,1.29,1.29,3.62,2.33
"537",537,537,537,"2016","13:10:00","St Kilda","Brisbane","Marvel Stadium",161,103,NA,25,11,15,13,1.05,10.13,14,1.05,1.05,1.074,1.074,11.57,10.71,12.02,10.71,-50.5,-55.5,-50.5,-53.5,50.5,50.5,55.5,53.5,1.877,1.952,1.877,1.943,1.98,1.98,1.925,1.961,206.5,203.5,206.5,204.5,1.925,1.909,1.952,1.793,1.925,1.943,1.925,2.08,NA,1.05,1.05,10.13,9.08
"538",538,538,538,"2016","19:25:00","Gold Coast","Port Adelaide","Metricon Stadium",66,89,NA,9,12,13,11,2.77,1.44,14,3.24,2.8,3.39,2.93,1.37,1.344,1.497,1.462,16.5,13.5,22.5,13.5,-16.5,-22.5,-13.5,-13.5,1.925,1.925,2,1.98,1.925,1.854,1.98,1.925,187.5,185.5,187.5,187.5,1.925,1.925,1.952,1.833,1.925,1.925,2.03,2.03,NA,2.77,1.44,2.77,1.33
"539",539,539,539,"2016","19:25:00","North Melbourne","GWS Giants","Marvel Stadium",63,100,NA,9,9,14,16,2.7,1.46,14,2.85,2.59,3.01,2.93,1.454,1.434,1.555,1.465,15.5,10.5,15.5,15.5,-15.5,-15.5,-10.5,-15.5,1.877,1.909,2.07,1.99,1.98,1.8,1.98,1.917,184.5,179.5,184.5,179.5,1.925,1.9,1.925,2.03,1.925,1.833,1.925,1.833,NA,2.7,1.46,2.7,1.24
"540",540,540,540,"2016","16:35:00","Sydney","Richmond","SCG",164,51,NA,25,14,7,9,1.04,11.37,14,1.071,1.049,1.071,1.062,9.51,9.51,13.89,12.02,-48.5,-60.5,-48.5,-60.5,48.5,48.5,60.5,60.5,1.877,1.952,1.877,1.952,1.98,1.98,1.952,1.952,166.5,166.5,178.5,174.5,1.925,1.862,1.943,1.877,1.925,1.925,1.909,1.98,NA,1.04,1.04,11.37,10.33
"541",541,541,541,"2016","14:10:00","Essendon","Carlton","MCG",103,79,NA,15,13,10,19,3.21,1.35,14,3.43,3.15,3.5,3.35,1.338,1.338,1.414,1.377,21.5,17.5,23.5,17.5,-21.5,-23.5,-17.5,-17.5,1.925,1.909,1.925,2.02,1.925,1.925,2,1.884,170.5,165.5,171.5,165.5,1.925,1.84,1.952,1.84,1.925,1.909,1.925,2.02,NA,3.21,1.35,3.21,1.86
"542",542,542,542,"2016","13:45:00","Geelong","Melbourne","GMHBA Stadium",155,44,NA,24,11,6,8,1.15,5.49,14,1.202,1.156,1.211,1.18,4.84,4.84,6.09,5.65,-33.5,-36.5,-31.5,-36.5,33.5,31.5,36.5,36.5,1.99,1.952,2.03,1.952,1.862,1.862,1.952,1.952,176.5,172.5,178.5,172.5,1.925,1.9,1.925,1.943,1.925,1.909,1.925,1.909,NA,1.15,1.15,5.49,4.34
"543",543,543,543,"2016","19:40:00","Adelaide","West Coast","Adelaide Oval",71,100,NA,10,11,14,16,1.26,3.85,14,1.263,1.252,1.314,1.252,4.05,3.73,4.42,4.42,-23.5,-26.5,-23.5,-24.5,23.5,23.5,26.5,24.5,1.925,1.909,1.925,1.877,1.925,1.925,1.98,2.03,182.5,182.5,183.5,183.5,1.925,1.925,1.961,1.884,1.925,1.892,1.97,1.97,NA,1.26,1.26,3.85,2.59
"544",544,544,544,"2016","16:40:00","Essendon","Western Bulldogs","Marvel Stadium",53,93,NA,7,11,14,9,6.83,1.1,15,10.64,6.69,10.64,7.14,1.058,1.058,1.142,1.13,50.5,41.5,50.5,42.5,-50.5,-50.5,-41.5,-42.5,1.925,1.877,1.98,1.952,1.925,1.877,2.03,1.952,167.5,163.5,167.5,163.5,1.925,1.925,1.925,1.961,1.925,1.892,1.925,1.892,NA,6.83,1.1,6.83,5.73
"545",545,545,545,"2016","15:20:00","Brisbane","Geelong","Gabba",69,129,NA,10,9,19,15,12.39,1.03,14,13.23,9.9,13.23,12.31,1.038,1.038,1.066,1.055,57.5,57.5,59.5,59.5,-57.5,-59.5,-57.5,-59.5,1.925,1.925,2.04,2.01,1.925,1.869,1.925,1.9,198.5,198.5,201.5,201.5,1.925,1.806,2,1.97,1.925,1.925,1.97,1.884,NA,12.39,1.03,12.39,11.36
"546",546,546,546,"2016","13:10:00","Carlton","Melbourne","MCG",78,58,NA,11,12,7,16,4.3,1.22,15,3.58,3.29,5.16,4.58,1.317,1.204,1.361,1.24,23.5,21.5,27.5,26.5,-23.5,-27.5,-21.5,-26.5,1.925,1.8,2.08,1.98,1.925,1.84,2.07,1.925,162.5,158.5,164.5,158.5,1.925,1.943,1.943,1.943,1.925,1.769,1.909,1.909,NA,4.3,1.22,4.3,3.08
"547",547,547,547,"2016","19:10:00","Port Adelaide","Adelaide","Adelaide Oval",94,109,NA,14,10,15,19,7.71,1.09,15,5.45,4.85,10.26,10.26,1.169,1.078,1.215,1.078,35.5,31.5,44.5,44.5,-35.5,-44.5,-31.5,-44.5,1.925,1.917,1.943,1.934,1.925,1.961,1.97,1.97,183.5,183.5,183.5,183.5,1.925,1.763,1.952,1.833,1.925,1.9,2.12,2.03,NA,7.71,1.09,7.71,6.62
"548",548,548,548,"2016","19:25:00","Collingwood","Gold Coast","Marvel Stadium",118,47,NA,16,22,6,11,1.22,4.22,15,1.333,1.232,1.34,1.232,3.47,3.47,4.69,4.69,-21.5,-30.5,-21.5,-30.5,21.5,21.5,30.5,30.5,1.925,1.854,1.925,1.862,1.925,1.925,2.06,2.05,180.5,179.5,182.5,179.5,1.925,1.961,2.01,1.961,1.925,1.892,2.07,1.892,NA,1.22,1.22,4.22,3
"549",549,549,549,"2016","16:35:00","GWS Giants","Fremantle","Spotless Stadium",129,37,NA,19,15,5,7,1.01,15.11,15,1.035,1.035,1.035,1.035,13.71,13.71,13.71,13.71,-60.5,-76.5,-60.5,-76.5,60.5,60.5,76.5,76.5,1.925,1.884,1.925,2.04,1.925,1.925,2.01,1.869,184.5,184.5,185.5,184.5,1.925,1.813,1.943,2,1.925,1.854,1.98,1.854,NA,1.01,1.01,15.11,14.1
"550",550,550,550,"2016","14:10:00","Richmond","St Kilda","MCG",46,55,NA,6,10,7,13,2.31,1.62,15,1.952,1.952,2.5,2.41,1.9,1.588,1.9,1.641,2.5,2.5,8.5,7.5,-2.5,-8.5,-2.5,-7.5,1.826,1.826,2.01,2.01,2.04,1.884,2.04,1.9,166.5,166.5,168.5,168.5,1.925,1.854,1.925,1.854,1.925,1.833,2.04,2,NA,2.31,1.62,2.31,0.69
"551",551,551,551,"2016","13:45:00","North Melbourne","Sydney","Blundstone Arena",76,85,NA,10,16,12,13,3.47,1.31,15,3.35,3.11,3.76,3.73,1.35,1.31,1.413,1.322,19.5,18.5,20.5,18.5,-19.5,-20.5,-18.5,-18.5,1.925,1.862,2.01,1.917,1.925,1.877,1.99,1.99,170,170,170,170,1.925,1.813,1.925,1.9,1.925,1.925,2.05,1.952,NA,3.47,1.31,3.47,2.16
"552",552,552,552,"2016","18:10:00","West Coast","Hawthorn","Domain Stadium",92,67,NA,13,14,10,7,1.76,2.05,15,1.833,1.657,1.847,1.74,2.03,2.02,2.37,2.22,-2.5,-4.5,-2.5,-4.5,2.5,2.5,4.5,4.5,2.04,1.877,2.04,1.877,1.826,1.826,2.03,2.03,167.5,167.5,168.5,168.5,1.925,1.806,2.05,1.961,1.925,1.925,1.97,1.892,NA,1.76,1.76,2.05,0.29
"553",553,553,553,"2016","14:40:00","Fremantle","Adelaide","Domain Stadium",70,142,NA,11,4,21,16,7.42,1.09,15,7.33,7.33,9.28,8.1,1.108,1.083,1.109,1.109,43.5,43.5,46.5,46.5,-43.5,-46.5,-43.5,-46.5,1.925,1.925,1.97,1.917,1.925,1.917,1.925,1.99,186.5,184.5,186.5,185.5,1.925,1.854,1.925,1.952,1.925,1.854,1.925,1.9,NA,7.42,1.09,7.42,6.33
"554",554,554,554,"2016","15:20:00","Richmond","Geelong","MCG",78,82,NA,12,6,10,22,5.51,1.15,14,5.01,4.93,5.91,5.91,1.192,1.169,1.217,1.169,32.5,32.5,35.5,35.5,-32.5,-35.5,-32.5,-35.5,1.925,1.925,2.02,2.02,1.925,1.884,1.925,1.884,171.5,169.5,171.5,171.5,1.925,1.925,2,1.892,1.925,1.925,1.98,1.961,NA,5.51,1.15,5.51,4.36
"555",555,555,555,"2016","13:10:00","Essendon","Gold Coast","Marvel Stadium",75,69,NA,11,9,9,15,3.04,1.38,14,3.49,3.06,3.79,3.12,1.33,1.29,1.429,1.42,22.5,17.5,22.5,17.5,-22.5,-22.5,-17.5,-17.5,1.877,1.877,1.99,1.9,1.98,1.862,2.01,2.01,195.5,191.5,195.5,192.5,1.925,1.99,2.17,1.9,1.925,1.862,2.06,1.952,NA,3.04,1.38,3.04,1.66
"556",556,556,556,"2016","19:10:00","Port Adelaide","Melbourne","Adelaide Oval",54,94,NA,8,6,13,16,1.44,2.78,15,1.471,1.444,1.574,1.444,2.79,2.54,3.01,3.01,-15.5,-18.5,-13.5,-18.5,15.5,13.5,18.5,18.5,1.925,1.952,2.01,1.952,1.925,1.877,1.952,1.952,177.5,177.5,180.5,180.5,1.925,1.909,2.07,1.97,1.925,1.925,2.04,1.884,NA,1.44,1.44,2.78,1.34
"557",557,557,557,"2016","19:25:00","St Kilda","Sydney","Marvel Stadium",76,146,NA,11,10,23,8,3.32,1.33,15,3.54,3.01,3.6,3.6,1.322,1.322,1.434,1.338,25.5,15.5,25.5,16.5,-25.5,-25.5,-15.5,-16.5,1.877,1.925,1.877,1.869,1.98,1.98,1.98,2.04,169.5,169.5,173.5,173.5,1.854,1.854,2.11,1.99,2,2,1.99,1.869,NA,3.32,1.33,3.32,1.99
"558",558,558,558,"2016","16:35:00","GWS Giants","West Coast","Spotless Stadium",96,97,NA,14,12,14,13,1.27,3.73,15,1.285,1.263,1.331,1.289,3.84,3.6,4.3,4.01,-25.5,-28.5,-23.5,-28.5,25.5,23.5,28.5,28.5,1.925,1.943,1.99,1.943,1.925,1.9,1.961,1.961,181,181,181.5,181.5,1.925,1.8,1.952,1.862,1.925,1.884,1.99,1.99,NA,1.27,1.27,3.73,2.46
"559",559,559,559,"2016","14:10:00","Hawthorn","North Melbourne","MCG",96,57,NA,14,12,8,9,1.27,3.73,15,1.369,1.277,1.427,1.277,3.25,3.01,4.14,4.14,-20.5,-24.5,-15.5,-24.5,20.5,15.5,24.5,24.5,1.98,1.884,1.943,1.9,1.877,1.943,2.02,2.01,175.5,175.5,180.5,180.5,1.943,1.769,1.98,1.98,1.909,1.909,1.925,1.877,NA,1.27,1.27,3.73,2.46
