"","X.2","X.1","X","Date","Kick.Off..local.","Home.Team","Away.Team","Venue","Home.Score","Away.Score","Play.Off.Game.","Home.Goals","Home.Behinds","Away.Goals","Away.Behinds","Home.Odds","Away.Odds","Bookmakers.Surveyed","Home.Odds.Open","Home.Odds.Min","Home.Odds.Max","Home.Odds.Close","Away.Odds.Open","Away.Odds.Min","Away.Odds.Max","Away.Odds.Close","Home.Line.Open","Home.Line.Min","Home.Line.Max","Home.Line.Close","Away.Line.Open","Away.Line.Min","Away.Line.Max","Away.Line.Close","Home.Line.Odds.Open","Home.Line.Odds.Min","Home.Line.Odds.Max","Home.Line.Odds.Close","Away.Line.Odds.Open","Away.Line.Odds.Min","Away.Line.Odds.Max","Away.Line.Odds.Close","Total.Score.Open","Total.Score.Min","Total.Score.Max","Total.Score.Close","Total.Score.Over.Open","Total.Score.Over.Min","Total.Score.Over.Max","Total.Score.Over.Close","Total.Score.Under.Open","Total.Score.Under.Min","Total.Score.Under.Max","Total.Score.Under.Close","Notes","Home","Favorite","Underdog","Differential"
"12",12,12,12,"2019","19:50:00","Richmond","Geelong","MCG",37,104,NA,5,7,16,8,2.91,1.41,9,2.1,2.1,3,3,1.75,1.42,1.75,1.42,4.5,4.5,15.5,14.5,-4.5,-15.5,-4.5,-14.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,162.5,159.5,163.5,163.5,1.89,1.91,1.91,1.91,1.89,1.91,1.91,1.91,NA,2.91,1.41,2.91,1.5
"13",13,13,13,"2019","15:20:00","West Coast","Western Bulldogs","Optus Stadium",133,72,NA,21,7,10,12,1.23,4.14,9,1.21,1.21,1.25,1.24,4.5,4,4.5,4.25,-28.5,-28.5,-22.5,-25.5,28.5,22.5,28.5,25.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,163.5,162.5,165.5,165.5,1.89,1.91,1.91,1.91,1.89,1.91,1.91,1.91,NA,1.23,1.23,4.14,2.91
"14",14,14,14,"2019","15:20:00","Essendon","Carlton","MCG",74,33,NA,11,8,4,9,1.41,2.87,9,1.25,1.25,1.5,1.42,4,2.6,4,3,-26.5,-26.5,-13.5,-16.5,26.5,13.5,26.5,16.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,156.5,149.5,156.5,149.5,1.89,1.91,1.89,1.91,1.89,1.91,1.89,1.91,NA,1.41,1.41,2.87,1.46
"15",15,15,15,"2019","12:40:00","St Kilda","Port Adelaide","Jiangwan Sports Centre",69,139,NA,9,15,22,7,3.17,1.35,8,3.6,2.5,3.7,3.35,1.3,1.3,1.54,1.35,22.5,11.5,24.5,20.5,-22.5,-24.5,-11.5,-20.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,159.5,154.5,159.5,156.5,1.89,1.89,1.89,1.91,1.89,1.89,1.89,1.91,NA,3.17,1.35,3.17,1.82
"16",16,16,16,"2019","19:10:00","Melbourne","Adelaide","TIO Stadium",88,90,NA,12,16,14,6,2.4,1.56,9,1.75,1.75,2.5,2.45,2.1,1.56,2.1,1.58,-3.5,-3.5,10.5,9.5,3.5,-10.5,3.5,-9.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,161.5,160.5,161.5,161.5,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,NA,2.4,1.56,2.4,0.84
"17",17,17,17,"2019","19:25:00","Brisbane","Hawthorn","Gabba",85,66,NA,12,13,10,6,1.63,2.26,9,1.65,1.62,1.7,1.63,2.25,2.18,2.35,2.35,-6.5,-8.5,-4.5,-8.5,6.5,4.5,8.5,8.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,168.5,168.5,170.5,168.5,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,NA,1.63,1.63,2.26,0.63
"18",18,18,18,"2019","16:35:00","Geelong","Sydney","GMHBA Stadium",85,63,NA,13,7,8,15,1.16,5.15,9,1.14,1.14,1.18,1.17,5.75,5,5.75,5.4,-36.5,-36.5,-29.5,-31.5,36.5,29.5,36.5,31.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,160.5,158.5,160.5,159.5,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,NA,1.16,1.16,5.15,3.99
"19",19,19,19,"2019","13:45:00","Collingwood","Fremantle","MCG",75,79,NA,11,9,11,13,1.15,5.42,9,1.21,1.15,1.21,1.15,4.5,4.5,6,6,-27.5,-34.5,-27.5,-34.5,27.5,27.5,34.5,34.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,160.5,159.5,160.5,159.5,1.89,1.89,1.89,1.89,1.89,1.89,1.95,1.89,NA,1.15,1.15,5.42,4.27
"20",20,20,20,"2019","13:45:00","GWS Giants","Gold Coast","Spotless Stadium",126,43,NA,19,12,6,7,1.04,10.71,9,1.09,1.04,1.09,1.04,7.5,7.5,13,13,-41.5,-52.5,-41.5,-52.5,41.5,41.5,52.5,52.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,159.5,155.5,159.5,156.5,1.89,1.85,1.89,1.89,1.89,1.89,1.89,1.89,NA,1.04,1.04,10.71,9.67
"21",21,21,21,"2019","19:50:00","North Melbourne","Richmond","Marvel Stadium",99,62,NA,15,9,9,8,3.01,1.38,9,3.35,3,4,3.1,1.33,1.25,1.42,1.4,19.5,15.5,23.5,15.5,-19.5,-23.5,-15.5,-15.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,170.5,169.5,170.5,169.5,1.89,1.91,1.91,1.91,1.89,1.91,1.91,1.91,NA,3.01,1.38,3.01,1.63
"22",22,22,22,"2019","15:20:00","Fremantle","Brisbane","Optus Stadium",73,72,NA,10,13,10,12,1.68,2.17,9,1.58,1.58,1.78,1.7,2.4,2.05,2.4,2.22,-9.5,-9.5,-3.5,-6.5,9.5,3.5,9.5,6.5,1.91,1.91,1.91,1.91,1.91,1.91,1.91,1.91,173.5,172.5,173.5,173.5,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,NA,1.68,1.68,2.17,0.49
