"","Season","Date","Round","Team","Opposition","Out","Reason"
"1","2012","Apr 05, 2012","2","Brisbane Lions","Carlton","Sam Sheldon","Omitted"
"2","2012","Apr 07, 2012","2","Essendon","Port Adelaide","Heath Hocking","Concussion"
"3","2012","Apr 07, 2012","2","Essendon","Port Adelaide","Cale Hooker","Ankle"
"4","2012","Apr 07, 2012","2","Port Adelaide","Essendon","John Butcher","Hamstring"
"5","2012","Apr 07, 2012","2","Sydney Swans","Fremantle","Harry Cunningham","Omitted"
"6","2012","Apr 07, 2012","2","Sydney Swans","Fremantle","Andrejs Everitt","Omitted"
"7","2012","Apr 07, 2012","2","Sydney Swans","Fremantle","Shane Mumford","Omitted"
"8","2012","Apr 07, 2012","2","Fremantle","Sydney Swans","Hayden Ballantyne","Suspension"
"9","2012","Apr 07, 2012","2","West Coast Eagles","Melbourne","Sam Blease","Omitted"
"10","2012","Apr 07, 2012","2","West Coast Eagles","Melbourne","Aaron Davey","Omitted"
"11","2012","Apr 07, 2012","2","West Coast Eagles","Melbourne","Brent Moloney","Groin"
"12","2012","Apr 07, 2012","2","West Coast Eagles","Melbourne","Josh Tynan","Omitted"
"13","2012","Apr 07, 2012","2","West Coast Eagles","Melbourne","Stefan Martin","Omitted"
"14","2012","Apr 07, 2012","2","Adelaide Crows","Western Bulldogs","Christian Howard","Knee"
"15","2012","Apr 07, 2012","2","Adelaide Crows","Western Bulldogs","Mitch Wallis","Omitted"
"16","2012","Apr 07, 2012","2","Collingwood","Richmond","Luke Rounds","Omitted"
"17","2012","Apr 07, 2012","2","Collingwood","Richmond","Peter Yagmoor","Omitted"
"18","2012","Apr 07, 2012","2","Richmond","Collingwood","Addam Maric","Omitted"
"19","2012","Apr 07, 2012","2","Richmond","Collingwood","Jayden Post","Omitted"
"20","2012","Apr 08, 2012","2","North Melbourne","GWS Giants","Robbie Tarrant","Injured"
"21","2012","Apr 08, 2012","2","GWS Giants","North Melbourne","Adam Tomlinson","Omitted"
"22","2012","Apr 08, 2012","2","GWS Giants","North Melbourne","James McDonald","Suspension"
"23","2012","Apr 08, 2012","2","St Kilda","Gold Coast Suns","Brett Peake","Omitted"
"24","2012","Apr 08, 2012","2","St Kilda","Gold Coast Suns","Farren Ray","Omitted"
"25","2012","Apr 08, 2012","2","St Kilda","Gold Coast Suns","Dean Polo","Suspension"
"26","2012","Apr 08, 2012","2","Gold Coast Suns","St Kilda","Daniel Gorringe","Achilles"
"27","2012","Apr 08, 2012","2","Gold Coast Suns","St Kilda","Sam Iles","Omitted"
"28","2012","Apr 08, 2012","2","Gold Coast Suns","St Kilda","Seb Tape","Teeth"
"29","2012","Apr 09, 2012","2","Geelong Cats","Hawthorn","Matthew Scarlett","Suspension"
"30","2012","Apr 09, 2012","2","Geelong Cats","Hawthorn","Orren Stephenson","Omitted"
"31","2012","Apr 09, 2012","2","Hawthorn","Geelong Cats","Jarrad Boumann","Omitted"
"32","2012","Apr 13, 2012","3","Carlton","Collingwood","Bret Thornton","Omitted"
"33","2012","Apr 13, 2012","3","Carlton","Collingwood","Jordan Russell","Omitted"
"34","2012","Apr 13, 2012","3","Collingwood","Carlton","Jackson Paine","Omitted"
"35","2012","Apr 13, 2012","3","Collingwood","Carlton","Chris Tarrant","Calf"
"36","2012","Apr 13, 2012","3","Collingwood","Carlton","Paul Seedsman","Omitted"
"37","2012","Apr 14, 2012","3","Richmond","Melbourne","Jake King","Knee"
"38","2012","Apr 14, 2012","3","Melbourne","Richmond","Brad Green","Omitted"
"39","2012","Apr 14, 2012","3","Melbourne","Richmond","Jamie Bennell","Omitted"
"40","2012","Apr 14, 2012","3","Melbourne","Richmond","Ricky Petterd","Omitted"
"41","2012","Apr 14, 2012","3","Melbourne","Richmond","Joel MacDonald","Omitted"
"42","2012","Apr 14, 2012","3","Port Adelaide","Sydney Swans","David Rodan","Omitted"
"43","2012","Apr 14, 2012","3","Sydney Swans","Port Adelaide","Nick Smith","Virus"
"44","2012","Apr 14, 2012","3","Sydney Swans","Port Adelaide","Lewis Roberts-Thomson","Cheekbone"
"45","2012","Apr 14, 2012","3","Sydney Swans","Port Adelaide","Mark Seaby","Omitted"
"46","2012","Apr 14, 2012","3","Fremantle","Brisbane Lions","John Anthony","Omitted"
"47","2012","Apr 14, 2012","3","Brisbane Lions","Fremantle","Ben Hudson","Omitted"
"48","2012","Apr 14, 2012","3","Brisbane Lions","Fremantle","Rohan Bewick","Omitted"
"49","2012","Apr 14, 2012","3","Brisbane Lions","Fremantle","Niall McKeever","Omitted"
"50","2012","Apr 14, 2012","3","Brisbane Lions","Fremantle","Cheynee Stiller","Omitted"
"51","2012","Apr 14, 2012","3","Brisbane Lions","Fremantle","Simon Black","Hand"
"52","2012","Apr 14, 2012","3","Western Bulldogs","St Kilda","Tory Dickson","Omitted"
"53","2012","Apr 14, 2012","3","St Kilda","Western Bulldogs","Tom Ledger","Omitted"
"54","2012","Apr 14, 2012","3","Gold Coast Suns","Essendon","Steven May","Rested"
"55","2012","Apr 14, 2012","3","Gold Coast Suns","Essendon","Jeremy Taylor","Omitted"
"56","2012","Apr 14, 2012","3","Gold Coast Suns","Essendon","Tom Hickey","Omitted"
"57","2012","Apr 14, 2012","3","Gold Coast Suns","Essendon","Campbell Brown","Groin"
"58","2012","Apr 14, 2012","3","Essendon","Gold Coast Suns","David Hille","Calf"
"59","2012","Apr 14, 2012","3","Essendon","Gold Coast Suns","Mark McVeigh","Soreness"
"60","2012","Apr 14, 2012","3","Essendon","Gold Coast Suns","Sam Lonergan","Suspension"
"61","2012","Apr 14, 2012","3","Essendon","Gold Coast Suns","David Myers","Hamstring"
"62","2012","Apr 14, 2012","3","Essendon","Gold Coast Suns","Nathan Lovett-Murray","Hamstring"
"63","2012","Apr 15, 2012","3","GWS Giants","West Coast Eagles","Nathan Wilson","Omitted"
"64","2012","Apr 15, 2012","3","GWS Giants","West Coast Eagles","Dom Tyson","Injured"
"65","2012","Apr 15, 2012","3","GWS Giants","West Coast Eagles","Will Hoskin-Elliott","Omitted"
"66","2012","Apr 15, 2012","3","West Coast Eagles","GWS Giants","Matt Priddis","Quad"
"67","2012","Apr 15, 2012","3","West Coast Eagles","GWS Giants","Andrew Embley","Shoulder"
"68","2012","Apr 15, 2012","3","West Coast Eagles","GWS Giants","Darren Glass","Groin"
"69","2012","Apr 15, 2012","3","West Coast Eagles","GWS Giants","Matt Rosa","Quad"
"70","2012","Apr 15, 2012","3","Hawthorn","Adelaide Crows","Chance Bateman","Omitted"
"71","2012","Apr 15, 2012","3","Hawthorn","Adelaide Crows","Isaac Smith","Back"
"72","2012","Apr 15, 2012","3","Hawthorn","Adelaide Crows","Broc McCauley","Omitted"
"73","2012","Apr 15, 2012","3","Adelaide Crows","Hawthorn","Richard Douglas","Hamstring"
"74","2012","Apr 15, 2012","3","Adelaide Crows","Hawthorn","Ricky Henderson","Omitted"
"75","2012","Apr 15, 2012","3","North Melbourne","Geelong Cats","Cameron Delaney","Omitted"
"76","2012","Apr 15, 2012","3","North Melbourne","Geelong Cats","Aaron Mullett","Omitted"
"77","2012","Apr 15, 2012","3","Geelong Cats","North Melbourne","Mitch W. Brown","Omitted"
"78","2012","Apr 15, 2012","3","Geelong Cats","North Melbourne","Mathew Stokes","Injured"
"79","2012","Apr 15, 2012","3","Geelong Cats","North Melbourne","Billie Smedts","Injured"
"80","2012","Apr 20, 2012","4","St Kilda","Fremantle","Nathan Fyfe","Omitted"
"81","2012","Apr 20, 2012","4","St Kilda","Fremantle","Kepler Bradley","Omitted"
"82","2012","Apr 20, 2012","4","St Kilda","Fremantle","Joshua Mellington","Hamstring"
"83","2012","Apr 21, 2012","4","Carlton","Essendon","Dennis Armfield","Knee"
"84","2012","Apr 21, 2012","4","Essendon","Carlton","Courtenay Dempsey","Hamstring"
"85","2012","Apr 21, 2012","4","Essendon","Carlton","Kyle Reimers","Omitted"
"86","2012","Apr 21, 2012","4","Essendon","Carlton","Jake Carlisle","Soreness"
"87","2012","Apr 21, 2012","4","Collingwood","Port Adelaide","Cameron Wood","Omitted"
"88","2012","Apr 21, 2012","4","Collingwood","Port Adelaide","Luke Ball","Knee"
"89","2012","Apr 21, 2012","4","Collingwood","Port Adelaide","Dale Thomas","Hamstring"
"90","2012","Apr 21, 2012","4","Collingwood","Port Adelaide","Heath Shaw","Hamstring"
"91","2012","Apr 21, 2012","4","Collingwood","Port Adelaide","Ben Reid","Quad"
"92","2012","Apr 21, 2012","4","Port Adelaide","Collingwood","Cameron O'Shea","Omitted"
"93","2012","Apr 21, 2012","4","Port Adelaide","Collingwood","Jarrad Redden","Rested"
"94","2012","Apr 21, 2012","4","Port Adelaide","Collingwood","Matt Thomas","Omitted"
"95","2012","Apr 21, 2012","4","Adelaide Crows","GWS Giants","Tom T. Lynch","Omitted"
"96","2012","Apr 21, 2012","4","Adelaide Crows","GWS Giants","Andy Otten","Omitted"
"97","2012","Apr 21, 2012","4","Adelaide Crows","GWS Giants","Sam Kerridge","Omitted"
"98","2012","Apr 21, 2012","4","Adelaide Crows","GWS Giants","Ian Callinan","Omitted"
"99","2012","Apr 21, 2012","4","Adelaide Crows","GWS Giants","Graham Johncock","Thigh"
"100","2012","Apr 21, 2012","4","GWS Giants","Adelaide Crows","Jeremy Cameron","Soreness"
"101","2012","Apr 21, 2012","4","GWS Giants","Adelaide Crows","Stephen Coniglio","Omitted"
"102","2012","Apr 21, 2012","4","GWS Giants","Adelaide Crows","Toby Greene","Soreness"
"103","2012","Apr 21, 2012","4","Brisbane Lions","Gold Coast Suns","Matthew Leuenberger","Achilles"
"104","2012","Apr 21, 2012","4","Brisbane Lions","Gold Coast Suns","Billy Longer","Omitted"
"105","2012","Apr 21, 2012","4","Brisbane Lions","Gold Coast Suns","James Polkinghorne","Omitted"
"106","2012","Apr 21, 2012","4","Brisbane Lions","Gold Coast Suns","Jesse O'Brien","Omitted"
"107","2012","Apr 21, 2012","4","Brisbane Lions","Gold Coast Suns","Claye Beams","Omitted"
"108","2012","Apr 21, 2012","4","Gold Coast Suns","Brisbane Lions","Maverick Weller","Omitted"
"109","2012","Apr 21, 2012","4","West Coast Eagles","Hawthorn","Koby Stevens","Omitted"
"110","2012","Apr 21, 2012","4","West Coast Eagles","Hawthorn","Bradd Dalziell","Knee"
"111","2012","Apr 21, 2012","4","West Coast Eagles","Hawthorn","Mitchell Brown","Omitted"
"112","2012","Apr 21, 2012","4","Hawthorn","West Coast Eagles","Grant Birchall","Omitted"
"113","2012","Apr 21, 2012","4","Hawthorn","West Coast Eagles","Luke Breust","Concussion"
"114","2012","Apr 22, 2012","4","Geelong Cats","Richmond","James Kelly","Groin"
"115","2012","Apr 22, 2012","4","Geelong Cats","Richmond","Shannon Byrnes","Omitted"
"116","2012","Apr 22, 2012","4","Geelong Cats","Richmond","Orren Stephenson","Omitted"
"117","2012","Apr 22, 2012","4","Richmond","Geelong Cats","Shane Edwards","Calf"
"118","2012","Apr 22, 2012","4","Sydney Swans","North Melbourne","Adam Goodes","Suspension"
"119","2012","Apr 22, 2012","4","Sydney Swans","North Melbourne","Shane Mumford","Back"
"120","2012","Apr 22, 2012","4","Melbourne","Western Bulldogs","Jack Grimes","Suspension"
"121","2012","Apr 22, 2012","4","Melbourne","Western Bulldogs","Stefan Martin","Omitted"
"122","2012","Apr 22, 2012","4","Western Bulldogs","Melbourne","Clay Smith","Soreness"
"123","2012","Apr 22, 2012","4","Western Bulldogs","Melbourne","Tom Liberatore","Omitted"
"124","2012","Apr 22, 2012","4","Western Bulldogs","Melbourne","Lukas Markovic","Omitted"
"125","2012","Apr 22, 2012","4","Western Bulldogs","Melbourne","Brian Lake","Suspension"
"126","2012","Apr 25, 2012","5","Collingwood","Essendon","Jackson Paine","Omitted"
"127","2012","Apr 25, 2012","5","Collingwood","Essendon","Tom Young","Omitted"
"128","2012","Apr 25, 2012","5","Essendon","Collingwood","Michael Hurley","Hamstring"
"129","2012","Apr 27, 2012","5","Fremantle","Carlton","Nick Suban","Omitted"
"130","2012","Apr 27, 2012","5","Fremantle","Carlton","Aaron Sandilands","Knee"
"131","2012","Apr 27, 2012","5","Carlton","Fremantle","Paul Bower","Omitted"
"132","2012","Apr 27, 2012","5","Carlton","Fremantle","Brock McLean","Omitted"
"133","2012","Apr 27, 2012","5","Carlton","Fremantle","Chris Yarran","Toe"
"134","2012","Apr 27, 2012","5","Carlton","Fremantle","Jeremy Laidler","Knee"
"135","2012","Apr 27, 2012","5","Carlton","Fremantle","Andrew Carrazzo","Shoulder"
"136","2012","Apr 28, 2012","5","GWS Giants","Western Bulldogs","Rhys Palmer","Injured"
"137","2012","Apr 28, 2012","5","GWS Giants","Western Bulldogs","Chad Cornes","Omitted"
"138","2012","Apr 28, 2012","5","GWS Giants","Western Bulldogs","Dean Brogan","Injured"
"139","2012","Apr 28, 2012","5","GWS Giants","Western Bulldogs","Adam Kennedy","Omitted"
"140","2012","Apr 28, 2012","5","GWS Giants","Western Bulldogs","Anthony Miles","Omitted"
"141","2012","Apr 28, 2012","5","GWS Giants","Western Bulldogs","Tim Mohr","Injured"
"142","2012","Apr 28, 2012","5","Western Bulldogs","GWS Giants","Daniel Giansiracusa","Hip"
"143","2012","Apr 28, 2012","5","Western Bulldogs","GWS Giants","Ryan Hargrave","Omitted"
"144","2012","Apr 28, 2012","5","North Melbourne","Gold Coast Suns","Scott McMahon","Illness"
"145","2012","Apr 28, 2012","5","North Melbourne","Gold Coast Suns","Todd Goldstein","Omitted"
"146","2012","Apr 28, 2012","5","North Melbourne","Gold Coast Suns","Matt Campbell","Omitted"
"147","2012","Apr 28, 2012","5","Gold Coast Suns","North Melbourne","Michael Rischitelli","Omitted"
"148","2012","Apr 28, 2012","5","Gold Coast Suns","North Melbourne","Gary Ablett","Knee"
"149","2012","Apr 28, 2012","5","Gold Coast Suns","North Melbourne","Jarrod Harbrow","Elbow"
"150","2012","Apr 28, 2012","5","Gold Coast Suns","North Melbourne","Josh Fraser","Omitted"
"151","2012","Apr 28, 2012","5","Gold Coast Suns","North Melbourne","Aaron Hall","Omitted"
"152","2012","Apr 28, 2012","5","Melbourne","St Kilda","Mitch Clark","Neck"
"153","2012","Apr 28, 2012","5","Melbourne","St Kilda","James Frawley","Omitted"
"154","2012","Apr 28, 2012","5","St Kilda","Melbourne","Justin Koschitzke","Suspension"
"155","2012","Apr 28, 2012","5","St Kilda","Melbourne","Jack Newnes","Omitted"
"156","2012","Apr 28, 2012","5","Brisbane Lions","Geelong Cats","Ryan Harwood","Omitted"
"157","2012","Apr 28, 2012","5","Geelong Cats","Brisbane Lions","George Horlin-Smith","Omitted"
"158","2012","Apr 28, 2012","5","Geelong Cats","Brisbane Lions","Tom Gillies","Omitted"
"159","2012","Apr 29, 2012","5","Hawthorn","Sydney Swans","Bradley Hill","Omitted"
"160","2012","Apr 29, 2012","5","Hawthorn","Sydney Swans","Jack Gunston","Omitted"
"161","2012","Apr 29, 2012","5","Hawthorn","Sydney Swans","Clinton Young","Omitted"
"162","2012","Apr 29, 2012","5","Hawthorn","Sydney Swans","Cameron Bruce","Omitted"
"163","2012","Apr 29, 2012","5","Sydney Swans","Hawthorn","Jesse White","Omitted"
"164","2012","Apr 29, 2012","5","Sydney Swans","Hawthorn","Tony Armstrong","Omitted"
"165","2012","Apr 29, 2012","5","Sydney Swans","Hawthorn","Gary Rohan","Leg"
"166","2012","Apr 29, 2012","5","Richmond","West Coast Eagles","Addam Maric","Omitted"
"167","2012","Apr 29, 2012","5","West Coast Eagles","Richmond","Eric Mackenzie","Omitted"
"168","2012","Apr 29, 2012","5","West Coast Eagles","Richmond","Patrick McGinnity","Omitted"
"169","2012","Apr 29, 2012","5","Adelaide Crows","Port Adelaide","Bernie Vince","Hand"
"170","2012","Apr 29, 2012","5","Adelaide Crows","Port Adelaide","Brodie Martin","Omitted"
"171","2012","Apr 29, 2012","5","Adelaide Crows","Port Adelaide","Sam Shaw","Omitted"
"172","2012","Apr 29, 2012","5","Adelaide Crows","Port Adelaide","Jason Porplyzia","Omitted"
"173","2012","Apr 29, 2012","5","Port Adelaide","Adelaide Crows","Robbie Gray","Knee"
"174","2012","Apr 29, 2012","5","Port Adelaide","Adelaide Crows","Daniel Stewart","Omitted"
"175","2012","May 04, 2012","6","Western Bulldogs","Collingwood","Jarrad Grant","Hip"
"176","2012","May 04, 2012","6","Western Bulldogs","Collingwood","Ayce Cordy","Back"
"177","2012","May 04, 2012","6","Collingwood","Western Bulldogs","Jarryd Blair","soreness"
"178","2012","May 04, 2012","6","Collingwood","Western Bulldogs","Darren Jolly","Omitted"
"179","2012","May 04, 2012","6","Collingwood","Western Bulldogs","Paul Seedsman","Omitted"
"180","2012","May 05, 2012","6","Essendon","Brisbane Lions","Tayte Pears","Soreness"
"181","2012","May 05, 2012","6","Essendon","Brisbane Lions","Michael Hibberd","Hamstring"
"182","2012","May 05, 2012","6","Essendon","Brisbane Lions","Cory Dell'Olio","Omitted"
"183","2012","May 05, 2012","6","Brisbane Lions","Essendon","Josh Drummond","Soreness"
"184","2012","May 05, 2012","6","Brisbane Lions","Essendon","Sam Sheldon","Omitted"
"185","2012","May 05, 2012","6","Brisbane Lions","Essendon","Andrew Raines","Suspension"
"186","2012","May 05, 2012","6","Geelong Cats","Melbourne","Joel Selwood","Omitted"
"187","2012","May 05, 2012","6","Geelong Cats","Melbourne","Taylor Hunt","Soreness"
"188","2012","May 05, 2012","6","Geelong Cats","Melbourne","Tom Lonergan","Omitted"
"189","2012","May 05, 2012","6","Geelong Cats","Melbourne","Mathew Stokes","Ankle"
"190","2012","May 05, 2012","6","Melbourne","Geelong Cats","Joel MacDonald","Omitted"
"191","2012","May 05, 2012","6","Melbourne","Geelong Cats","Jack Watts","Omitted"
"192","2012","May 05, 2012","6","Gold Coast Suns","Fremantle","Brandon Matera","Foot"
"193","2012","May 05, 2012","6","Fremantle","Gold Coast Suns","Nathan Fyfe","Shoulder"
"194","2012","May 05, 2012","6","Fremantle","Gold Coast Suns","John Anthony","Omitted"
"195","2012","May 05, 2012","6","Sydney Swans","Adelaide Crows","Andy Otten","Omitted"
"196","2012","May 05, 2012","6","St Kilda","Hawthorn","Beau Wilkes","Omitted"
"197","2012","May 05, 2012","6","St Kilda","Hawthorn","Jamie Cripps","Omitted"
"198","2012","May 05, 2012","6","St Kilda","Hawthorn","Ben McEvoy","Omitted"
"199","2012","May 05, 2012","6","Hawthorn","St Kilda","Josh Gibson","Ankle"
"200","2012","May 05, 2012","6","Hawthorn","St Kilda","Kyle Cheney","Omitted"
"201","2012","May 05, 2012","6","Hawthorn","St Kilda","Broc McCauley","Omitted"
"202","2012","May 06, 2012","6","Carlton","GWS Giants","Chris Judd","Soreness"
"203","2012","May 06, 2012","6","Carlton","GWS Giants","Jarrad Waite","Hip"
"204","2012","May 06, 2012","6","Carlton","GWS Giants","Ed Curnow","Omitted"
"205","2012","May 06, 2012","6","GWS Giants","Carlton","Jeremy Cameron","Calf"
"206","2012","May 06, 2012","6","GWS Giants","Carlton","Shaun Edwards","Omitted"
"207","2012","May 06, 2012","6","GWS Giants","Carlton","Adam Treloar","Injured"
"208","2012","May 06, 2012","6","GWS Giants","Carlton","Josh Bruce","Injured"
"209","2012","May 06, 2012","6","GWS Giants","Carlton","Israel Folau","Illness"
"210","2012","May 06, 2012","6","GWS Giants","Carlton","Adam Tomlinson","Omitted"
"211","2012","May 06, 2012","6","GWS Giants","Carlton","Jacob Townsend","Injured"
"212","2012","May 06, 2012","6","Port Adelaide","Richmond","Danyle Pearce","Omitted"
"213","2012","May 06, 2012","6","Port Adelaide","Richmond","Jay Schulz","Eye"
"214","2012","May 06, 2012","6","Port Adelaide","Richmond","Chad Wingard","Shoulder"
"215","2012","May 06, 2012","6","Richmond","Port Adelaide","Matt White","Omitted"
"216","2012","May 06, 2012","6","Richmond","Port Adelaide","Daniel Jackson","Suspension"
"217","2012","May 06, 2012","6","West Coast Eagles","North Melbourne","Josh Kennedy","Ankle"
"218","2012","May 06, 2012","6","West Coast Eagles","North Melbourne","Mitchell Brown","eye"
"219","2012","May 06, 2012","6","West Coast Eagles","North Melbourne","Ashley Smith","Omitted"
"220","2012","May 06, 2012","6","West Coast Eagles","North Melbourne","Will Schofield","Suspension"
"221","2012","May 06, 2012","6","West Coast Eagles","North Melbourne","Nic Naitanui","Omitted"
"222","2012","May 06, 2012","6","North Melbourne","West Coast Eagles","Levi Greenwood","Omitted"
"223","2012","May 11, 2012","7","Melbourne","Hawthorn","Luke Tapscott","Omitted"
"224","2012","May 11, 2012","7","Melbourne","Hawthorn","Lynden Dunn","Omitted"
"225","2012","May 11, 2012","7","Melbourne","Hawthorn","James Sellar","Calf"
"226","2012","May 11, 2012","7","Hawthorn","Melbourne","Luke Hodge","Knee"
"227","2012","May 11, 2012","7","Hawthorn","Melbourne","Jarrad Boumann","Appendix"
"228","2012","May 12, 2012","7","Adelaide Crows","Geelong Cats","Shaun McKernan","Suspension"
"229","2012","May 12, 2012","7","Geelong Cats","Adelaide Crows","Mitch W. Brown","Omitted"
"230","2012","May 12, 2012","7","Geelong Cats","Adelaide Crows","Matthew Scarlett","Omitted"
"231","2012","May 12, 2012","7","Geelong Cats","Adelaide Crows","Jimmy Bartel","Omitted"
"232","2012","May 12, 2012","7","GWS Giants","Gold Coast Suns","Sam Reid","Omitted"
"233","2012","May 12, 2012","7","GWS Giants","Gold Coast Suns","Jack Hombsch","Injured"
"234","2012","May 12, 2012","7","GWS Giants","Gold Coast Suns","Dean Brogan","Injured"
"235","2012","May 12, 2012","7","GWS Giants","Gold Coast Suns","Curtly Hampton","Omitted"
"236","2012","May 12, 2012","7","GWS Giants","Gold Coast Suns","James McDonald)","specify"
"237","2012","May 12, 2012","7","GWS Giants","Gold Coast Suns","Setanta O'hAilpin","Knee"
"238","2012","May 12, 2012","7","Gold Coast Suns","GWS Giants","Nathan Bock","Leg"
"239","2012","May 12, 2012","7","Gold Coast Suns","GWS Giants","Matthew Shaw","Omitted"
"240","2012","May 12, 2012","7","Gold Coast Suns","GWS Giants","Maverick Weller","Omitted"
"241","2012","May 12, 2012","7","Richmond","Sydney Swans","Tyrone Vickery","Leg"
"242","2012","May 12, 2012","7","Sydney Swans","Richmond","Lewis Roberts-Thomson","Heel"
"243","2012","May 12, 2012","7","Sydney Swans","Richmond","Adam Goodes","Quad"
"244","2012","May 12, 2012","7","Brisbane Lions","Collingwood","Ben Hudson","Soreness"
"245","2012","May 12, 2012","7","Brisbane Lions","Collingwood","Ryan Lester","Soreness"
"246","2012","May 12, 2012","7","Brisbane Lions","Collingwood","Aaron Cornelius","Omitted"
"247","2012","May 12, 2012","7","Brisbane Lions","Collingwood","Jack Crisp","Omitted"
"248","2012","May 12, 2012","7","Brisbane Lions","Collingwood","Jed Adcock","Groin"
"249","2012","May 12, 2012","7","Collingwood","Brisbane Lions","Ben L. Johnson","Shoulder"
"250","2012","May 12, 2012","7","Collingwood","Brisbane Lions","Alex Fasolo","Knee"
"251","2012","May 12, 2012","7","Collingwood","Brisbane Lions","Chris Dawes","Omitted"
"252","2012","May 12, 2012","7","Collingwood","Brisbane Lions","Kirk Ugle","Omitted"
"253","2012","May 12, 2012","7","Essendon","West Coast Eagles","Adam Selwood","Hand"
"254","2012","May 12, 2012","7","Essendon","West Coast Eagles","Ashton Hams","Suspension"
"255","2012","May 13, 2012","7","North Melbourne","Western Bulldogs","Robbie Tarrant","Omitted"
"256","2012","May 13, 2012","7","North Melbourne","Western Bulldogs","Cameron Pedersen","Omitted"
"257","2012","May 13, 2012","7","North Melbourne","Western Bulldogs","Aaron Mullett","Omitted"
"258","2012","May 13, 2012","7","Western Bulldogs","North Melbourne","Liam Jones","Back"
"259","2012","May 13, 2012","7","Western Bulldogs","North Melbourne","Nathan Djerrkura","Hip"
"260","2012","May 13, 2012","7","Western Bulldogs","North Melbourne","Easton Wood","Hamstring"
"261","2012","May 13, 2012","7","Western Bulldogs","North Melbourne","Adam Cooney","Omitted"
"262","2012","May 13, 2012","7","Fremantle","Port Adelaide","Jonathon Griffin","Omitted"
"263","2012","May 13, 2012","7","Port Adelaide","Fremantle","Darren Pfeiffer","Omitted"
"264","2012","May 13, 2012","7","Port Adelaide","Fremantle","Cameron Hitchcock","Hamstring"
"265","2012","May 14, 2012","7","St Kilda","Carlton","Sam Fisher","Hamstring"
"266","2012","May 14, 2012","7","St Kilda","Carlton","Dean Polo","Omitted"
"267","2012","May 14, 2012","7","Carlton","St Kilda","Bret Thornton","Omitted"
"268","2012","May 14, 2012","7","Carlton","St Kilda","Josh Bootsma","Omitted"
"269","2012","May 14, 2012","7","Carlton","St Kilda","Kane Lucas","Omitted"
"270","2012","May 18, 2012","8","Collingwood","Geelong Cats","Cameron Wood","Omitted"
"271","2012","May 18, 2012","8","Collingwood","Geelong Cats","Peter Yagmoor","Omitted"
"272","2012","May 18, 2012","8","Collingwood","Geelong Cats","Nathan J. Brown","Knee"
"273","2012","May 18, 2012","8","Collingwood","Geelong Cats","Paul Seedsman","Omitted"
"274","2012","May 18, 2012","8","Geelong Cats","Collingwood","Shannon Byrnes","Omitted"
"275","2012","May 18, 2012","8","Geelong Cats","Collingwood","Allen Christensen","Calf"
"276","2012","May 18, 2012","8","Geelong Cats","Collingwood","Tom Gillies","Ankle"
"277","2012","May 19, 2012","8","Port Adelaide","North Melbourne","Aaron Young","Ankle"
"278","2012","May 19, 2012","8","Port Adelaide","North Melbourne","David Rodan","Omitted"
"279","2012","May 19, 2012","8","Port Adelaide","North Melbourne","Tom Logan","Omitted"
"280","2012","May 19, 2012","8","Port Adelaide","North Melbourne","Simon Phillips","Omitted"
"281","2012","May 19, 2012","8","Port Adelaide","North Melbourne","Daniel Stewart","Omitted"
"282","2012","May 19, 2012","8","North Melbourne","Port Adelaide","Liam Anthony","Omitted"
"283","2012","May 19, 2012","8","North Melbourne","Port Adelaide","Sam Wright","Shoulder"
"284","2012","May 19, 2012","8","North Melbourne","Port Adelaide","Hamish McIntosh","Knee"
"285","2012","May 19, 2012","8","North Melbourne","Port Adelaide","Aaron Edwards","Soreness"
"286","2012","May 19, 2012","8","Hawthorn","Fremantle","Michael Osborne","Knee"
"287","2012","May 19, 2012","8","Fremantle","Hawthorn","Adam McPhee","Calf"
"288","2012","May 19, 2012","8","Sydney Swans","Melbourne","Jesse White","Omitted"
"289","2012","May 19, 2012","8","Sydney Swans","Melbourne","Mark Seaby","Omitted"
"290","2012","May 19, 2012","8","Sydney Swans","Melbourne","Andrejs Everitt","Omitted"
"291","2012","May 19, 2012","8","Melbourne","Sydney Swans","Jack Fitzpatrick","Omitted"
"292","2012","May 19, 2012","8","Melbourne","Sydney Swans","Rohan Bail","Omitted"
"293","2012","May 19, 2012","8","Melbourne","Sydney Swans","Matthew Bate","Omitted"
"294","2012","May 19, 2012","8","Melbourne","Sydney Swans","Ricky Petterd","Omitted"
"295","2012","May 19, 2012","8","Western Bulldogs","Gold Coast Suns","Patrick Veszpremi","Groin"
"296","2012","May 19, 2012","8","Western Bulldogs","Gold Coast Suns","Jordan Roughead","Calf"
"297","2012","May 19, 2012","8","Gold Coast Suns","Western Bulldogs","David Swallow","Knee"
"298","2012","May 19, 2012","8","Gold Coast Suns","Western Bulldogs","Charlie Dixon","Checkbone"
"299","2012","May 19, 2012","8","Gold Coast Suns","Western Bulldogs","Jared Brennan","Omitted"
"300","2012","May 19, 2012","8","Gold Coast Suns","Western Bulldogs","Trent McKenzie","Omitted"
"301","2012","May 19, 2012","8","Gold Coast Suns","Western Bulldogs","Joshua Toy","Omitted"
"302","2012","May 19, 2012","8","Gold Coast Suns","Western Bulldogs","Michael Coad","Omitted"
"303","2012","May 19, 2012","8","Essendon","Richmond","Travis Colyer","Omitted"
