"","X","Day","Date","Year","Time","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket"
"27",27,"Sat","15-Aug-2009",2009,"7:10","Sydney","Geelong",40261,"Stadium",2.61,1.45,NA,1.45,2.61,1.16,33788.3,6472.7,34104.0555555556,6156.94444444445,0.180534084411597,7
"28",28,"Sat","15-Aug-2009",2009,"2:10","West Coast","North Melbourne",32472,"Subiaco",1.37,2.93,NA,1.37,2.93,1.56,35153.3529411765,-2681.35294117647,36141.247311828,-3669.24731182796,-0.101525198623323,2
"29",29,"Sat","15-Aug-2009",2009,"2:10","Richmond","Collingwood",63366,"M.C.G.",6.44,1.1,NA,1.1,6.44,5.34,50394.4829157175,12971.5170842825,50149.0454545455,13216.9545454545,0.26355346199828,2
"30",30,"Fri","14-Aug-2009",2009,"7:40","Hawthorn","Adelaide",32583,"M.C.G.",2.14,1.67,NA,1.67,2.14,0.47,50394.4829157175,-17811.4829157175,49782.9508196721,-17199.9508196721,-0.345498821111975,7
"31",31,"Sun","09-Aug-2009",2009,"2:40","Fremantle","Port Adelaide",30029,"Subiaco",2.48,1.5,NA,1.5,2.48,0.98,35153.3529411765,-5124.35294117647,34175.9680851064,-4146.96808510638,-0.121341642021067,2
"32",32,"Sun","09-Aug-2009",2009,"2:10","Richmond","Sydney",32216,"M.C.G.",1.79,1.92,NA,1.79,1.92,0.13,50394.4829157175,-18178.4829157175,50149.0454545455,-17933.0454545455,-0.35759495105046,2
"33",33,"Sun","09-Aug-2009",2009,"1:10","North Melbourne","Melbourne",16594,"Docklands",1.34,3.17,NA,1.34,3.17,1.83,31157.9865168539,-14563.9865168539,27670.4819277108,-11076.4819277108,-0.400299566760281,1
"34",34,"Sat","08-Aug-2009",2009,"7:10","Adelaide","Collingwood",45128,"Football",1.84,1.87,NA,1.84,1.87,0.03,29323.4845360825,15804.5154639175,35829.2040816327,9298.79591836734,0.259531188501456,7
"35",35,"Sat","08-Aug-2009",2009,"7:10","Essendon","Brisbane Lions",41636,"M.C.G.",2.4,1.54,NA,1.54,2.4,0.86,50394.4829157175,-8758.48291571754,61878.2051282051,-20242.2051282051,-0.327129804205946,7
"36",36,"Sat","08-Aug-2009",2009,"2:10","Western Bulldogs","West Coast",22417,"Docklands",1.06,8.38,NA,1.06,8.38,7.32,31157.9865168539,-8740.98651685393,28841.2391304348,-6424.23913043478,-0.222744907088808,2
"37",37,"Sat","08-Aug-2009",2009,"2:10","Hawthorn","St Kilda",20011,"York",1.52,2.45,NA,1.52,2.45,0.93,14457.1578947368,5553.84210526316,14457.1578947368,5553.84210526316,0.384158639319077,2
"38",38,"Fri","07-Aug-2009",2009,"7:40","Carlton","Geelong",55057,"M.C.G.",3.15,1.35,NA,1.35,3.15,1.8,50394.4829157175,4662.51708428246,52695.2941176471,2361.70588235294,0.0448181554330112,7
"39",39,"Sun","02-Aug-2009",2009,"2:40","Port Adelaide","Hawthorn",25154,"Football",2.63,1.45,NA,1.45,2.63,1.18,29323.4845360825,-4169.48453608247,22682.2291666667,2471.77083333333,0.108973893843106,2
"40",40,"Sun","02-Aug-2009",2009,"2:40","West Coast","Essendon",35765,"Subiaco",2.79,1.41,NA,1.41,2.79,1.38,35153.3529411765,611.647058823532,36141.247311828,-376.247311827959,-0.0104104683654575,2
"41",41,"Sun","02-Aug-2009",2009,"1:10","Melbourne","Richmond",37438,"M.C.G.",3.7,1.26,NA,1.26,3.7,2.44,50394.4829157175,-12956.4829157175,35367.7023809524,2070.29761904762,0.0585363899737688,1
"42",42,"Sat","01-Aug-2009",2009,"7:10","Collingwood","Brisbane Lions",47268,"M.C.G.",1.37,3.06,NA,1.37,3.06,1.69,50394.4829157175,-3126.48291571754,57107.1149425287,-9839.11494252874,-0.17229227833398,7
"43",43,"Sat","01-Aug-2009",2009,"7:10","Sydney","St Kilda",27805,"S.C.G.",5.43,1.13,NA,1.13,5.43,4.3,29955.7356321839,-2150.73563218391,29955.7356321839,-2150.73563218391,-0.0717971228813088,7
"44",44,"Sat","01-Aug-2009",2009,"2:10","Western Bulldogs","Fremantle",19065,"Docklands",1.04,10.88,NA,1.04,10.88,9.84,31157.9865168539,-12092.9865168539,28841.2391304348,-9776.23913043478,-0.338967375369056,2
"45",45,"Sat","01-Aug-2009",2009,"2:10","Geelong","Adelaide",21686,"Kardinia",1.25,3.7,NA,1.25,3.7,2.45,24884.9718309859,-3198.97183098592,24884.9718309859,-3198.97183098592,-0.128550349693491,2
"46",46,"Fri","31-Jul-2009",2009,"7:40","North Melbourne","Carlton",38554,"Docklands",3.38,1.3,NA,1.3,3.38,2.08,31157.9865168539,7396.01348314607,27670.4819277108,10883.5180722892,0.393325931247687,7
"47",47,"Sun","26-Jul-2009",2009,"4:10","Adelaide","Port Adelaide",46859,"Football",1.53,2.4,NA,1.53,2.4,0.87,29323.4845360825,17535.5154639175,35829.2040816327,11029.7959183673,0.307843732538329,4
"48",48,"Sun","26-Jul-2009",2009,"2:10","Essendon","Richmond",47412,"M.C.G.",1.28,3.62,NA,1.28,3.62,2.34,50394.4829157175,-2982.48291571754,61878.2051282051,-14466.2051282051,-0.233785144514659,2
"49",49,"Sun","26-Jul-2009",2009,"1:10","Melbourne","Sydney",7311,"Manuka",3.23,1.33,NA,1.33,3.23,1.9,10349.7083333333,-3038.70833333333,7311,0,0,1
"50",50,"Sat","25-Jul-2009",2009,"7:10","Brisbane Lions","North Melbourne",25509,"Gabba",1.15,5.03,NA,1.15,5.03,3.88,20680.4862385321,4828.51376146789,20786.5428571429,4722.45714285714,0.227188194559942,7
"51",51,"Sat","25-Jul-2009",2009,"7:10","St Kilda","Western Bulldogs",45082,"Docklands",1.51,2.44,NA,1.51,2.44,0.93,31157.9865168539,13924.0134831461,30626.3473684211,14455.6526315789,0.472000544422879,7
"52",52,"Sat","25-Jul-2009",2009,"2:10","Geelong","Hawthorn",64803,"M.C.G.",1.39,2.95,NA,1.39,2.95,1.56,50394.4829157175,14408.5170842825,63025.65,1777.35,0.0282004231610463,2
"53",53,"Sat","25-Jul-2009",2009,"2:10","Fremantle","West Coast",39536,"Subiaco",1.66,2.14,NA,1.66,2.14,0.48,35153.3529411765,4382.64705882353,34175.9680851064,5360.03191489362,0.156836286291755,2
"54",54,"Fri","24-Jul-2009",2009,"7:40","Carlton","Collingwood",84938,"M.C.G.",1.95,1.76,NA,1.76,1.95,0.19,50394.4829157175,34543.5170842825,52695.2941176471,32242.7058823529,0.611870688307919,7
"55",55,"Sun","19-Jul-2009",2009,"4:40","St Kilda","Adelaide",31940,"Docklands",1.34,3.15,NA,1.34,3.15,1.81,31157.9865168539,782.013483146067,30626.3473684211,1313.65263157895,0.042892892703668,4
"56",56,"Sun","19-Jul-2009",2009,"2:10","Richmond","North Melbourne",30604,"M.C.G.",1.93,1.79,NA,1.79,1.93,0.14,50394.4829157175,-19790.4829157175,50149.0454545455,-19545.0454545455,-0.389739132168744,2
"57",57,"Sun","19-Jul-2009",2009,"12:40","Port Adelaide","West Coast",21106,"Football",1.16,4.85,NA,1.16,4.85,3.69,29323.4845360825,-8217.48453608247,22682.2291666667,-1576.22916666667,-0.0694918103103844,12
"58",58,"Sat","18-Jul-2009",2009,"7:10","Collingwood","Hawthorn",66149,"M.C.G.",1.38,2.9,NA,1.38,2.9,1.52,50394.4829157175,15754.5170842825,57107.1149425287,9041.88505747126,0.158332023366454,7
"59",59,"Sat","18-Jul-2009",2009,"5:40","Fremantle","Brisbane Lions",22595,"Subiaco",3.14,1.34,NA,1.34,3.14,1.8,35153.3529411765,-12558.3529411765,34175.9680851064,-11580.9680851064,-0.338862912566719,5
