"","X","Day","Date","Year","Time","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket"
"395",395,"Sat","14-May-2011",2011,"7:40","Sydney","Port Adelaide",20719,"S.C.G.",1.12,6.12,NA,1.12,6.12,5,29955.7356321839,-9236.73563218391,29955.7356321839,-9236.73563218391,-0.308346145980142,7
"396",396,"Sat","14-May-2011",2011,"7:10","Brisbane Lions","Essendon",24921,"Gabba",4.43,1.2,NA,1.2,4.43,3.23,20680.4862385321,4240.51376146789,20786.5428571429,4134.45714285714,0.198900662379094,7
"397",397,"Sat","14-May-2011",2011,"2:40","Adelaide","Gold Coast",36056,"Football",1.14,5.65,NA,1.14,5.65,4.51,29323.4845360825,6732.51546391753,35829.2040816327,226.795918367345,0.00632991784720131,2
"398",398,"Sat","14-May-2011",2011,"2:10","North Melbourne","Melbourne",23536,"Docklands",1.81,1.95,NA,1.81,1.95,0.14,31157.9865168539,-7621.98651685393,27670.4819277108,-4134.48192771084,-0.149418500859948,2
"399",399,"Fri","13-May-2011",2011,"7:40","Geelong","Collingwood",81691,"M.C.G.",2.62,1.48,NA,1.48,2.62,1.14,50394.4829157175,31296.5170842825,63025.65,18665.35,0.296154819506027,7
"400",400,"Mon","09-May-2011",2011,"7:20","St Kilda","Carlton",41576,"Docklands",2.84,1.41,NA,1.41,2.84,1.43,31157.9865168539,10418.0134831461,30626.3473684211,10949.6526315789,0.357523948248206,7
"401",401,"Sun","08-May-2011",2011,"2:10","Melbourne","Adelaide",19987,"M.C.G.",1.81,1.96,NA,1.81,1.96,0.15,50394.4829157175,-30407.4829157175,35367.7023809524,-15380.7023809524,-0.434879886040768,2
"402",402,"Sun","08-May-2011",2011,"1:10","Essendon","West Coast",33631,"Docklands",1.2,4.4,NA,1.2,4.4,3.2,31157.9865168539,2473.01348314607,36322.6666666667,-2691.66666666666,-0.0741043242052712,1
"403",403,"Sat","07-May-2011",2011,"7:10","Gold Coast","Brisbane Lions",25501,"Gabba",6.33,1.12,NA,1.12,6.33,5.21,20680.4862385321,4820.51376146789,17896.5,7604.5,0.424915486268265,7
"404",404,"Sat","07-May-2011",2011,"4:10","Richmond","Fremantle",34090,"M.C.G.",2.2,1.64,NA,1.64,2.2,0.56,50394.4829157175,-16304.4829157175,50149.0454545455,-16059.0454545455,-0.320226343472503,4
"405",405,"Sat","07-May-2011",2011,"2:10","Geelong","North Melbourne",23669,"Kardinia",1.07,8.35,NA,1.07,8.35,7.28,24884.9718309859,-1215.97183098592,24884.9718309859,-1215.97183098592,-0.0488637013232151,2
"406",406,"Sat","07-May-2011",2011,"1:10","Western Bulldogs","Sydney",10184,"Manuka",1.69,2.12,NA,1.69,2.12,0.43,10349.7083333333,-165.708333333334,12246,-2062,-0.168381512330557,1
"407",407,"Fri","06-May-2011",2011,"8:10","Port Adelaide","Hawthorn",21819,"Football",4.45,1.2,NA,1.2,4.45,3.25,29323.4845360825,-7504.48453608247,22682.2291666667,-863.229166666668,-0.0380575101469855,8
"408",408,"Sun","01-May-2011",2011,"4:40","Collingwood","Western Bulldogs",53776,"M.C.G.",1.12,6.13,NA,1.12,6.13,5.01,50394.4829157175,3381.51708428246,57107.1149425287,-3331.11494252874,-0.058330996862319,4
"409",409,"Sun","01-May-2011",2011,"1:10","Essendon","Gold Coast",33710,"Docklands",1.03,12.75,NA,1.03,12.75,11.72,31157.9865168539,2552.01348314607,36322.6666666667,-2612.66666666666,-0.0719293737611041,1
"410",410,"Sat","30-Apr-2011",2011,"7:10","Adelaide","St Kilda",33854,"Football",1.76,2.01,NA,1.76,2.01,0.25,29323.4845360825,4530.51546391753,35829.2040816327,-1975.20408163266,-0.0551283270801211,7
"411",411,"Sat","30-Apr-2011",2011,"7:10","Richmond","Brisbane Lions",37438,"M.C.G.",1.4,2.93,NA,1.4,2.93,1.53,50394.4829157175,-12956.4829157175,50149.0454545455,-12711.0454545455,-0.253465351919143,7
"412",412,"Sat","30-Apr-2011",2011,"2:10","North Melbourne","Port Adelaide",16014,"Docklands",1.45,2.72,NA,1.45,2.72,1.27,31157.9865168539,-15143.9865168539,27670.4819277108,-11656.4819277108,-0.421260531643916,2
"413",413,"Fri","29-Apr-2011",2011,"7:40","Sydney","Carlton",28081,"S.C.G.",1.66,2.19,NA,1.66,2.19,0.53,29955.7356321839,-1874.73563218391,29955.7356321839,-1874.73563218391,-0.0625835284168326,7
"414",414,"Thu","28-Apr-2011",2011,"6:40","West Coast","Melbourne",36298,"Subiaco",1.56,2.41,NA,1.56,2.41,0.85,35153.3529411765,1144.64705882353,36141.247311828,156.752688172041,0.00433722408138194,6
"415",415,"Tue","26-Apr-2011",2011,"2:40","Hawthorn","Geelong",78579,"M.C.G.",2.02,1.75,NA,1.75,2.02,0.27,50394.4829157175,28184.5170842825,49782.9508196721,28796.0491803279,0.578431947206892,2
"416",416,"Mon","25-Apr-2011",2011,"6:45","Fremantle","Western Bulldogs",37551,"Subiaco",1.67,2.15,NA,1.67,2.15,0.48,35153.3529411765,2397.64705882353,34175.9680851064,3375.03191489362,0.0987545372961777,6
"417",417,"Mon","25-Apr-2011",2011,"2:40","Essendon","Collingwood",89626,"M.C.G.",4.26,1.22,NA,1.22,4.26,3.04,50394.4829157175,39231.5170842825,61878.2051282051,27747.7948717949,0.448425981560137,2
"418",418,"Sun","24-Apr-2011",2011,"4:40","North Melbourne","Richmond",36461,"Docklands",1.82,1.94,NA,1.82,1.94,0.12,31157.9865168539,5303.01348314607,27670.4819277108,8790.51807228916,0.317685759693467,4
"419",419,"Sat","23-Apr-2011",2011,"7:10","Carlton","Adelaide",37607,"Docklands",1.28,3.68,NA,1.28,3.68,2.4,31157.9865168539,6449.01348314607,32309.6481481481,5297.35185185185,0.163955727018818,7
"420",420,"Sat","23-Apr-2011",2011,"2:45","Port Adelaide","Gold Coast",21287,"Football",1.05,10.58,NA,1.05,10.58,9.53,29323.4845360825,-8036.48453608247,22682.2291666667,-1395.22916666667,-0.0615119949813869,2
"421",421,"Thu","21-Apr-2011",2011,"7:45","Brisbane Lions","St Kilda",22543,"Gabba",3.66,1.28,NA,1.28,3.66,2.38,20680.4862385321,1862.51376146789,20786.5428571429,1756.45714285714,0.0844997244096112,7
"422",422,"Sun","17-Apr-2011",2011,"2:40","Fremantle","North Melbourne",34779,"Subiaco",1.18,4.82,NA,1.18,4.82,3.64,35153.3529411765,-374.352941176468,34175.9680851064,603.031914893618,0.0176449109910193,2
"423",423,"Sun","17-Apr-2011",2011,"2:10","Gold Coast","Melbourne",12111,"Gabba",8.79,1.07,NA,1.07,8.79,7.72,20680.4862385321,-8569.48623853211,17896.5,-5785.5,-0.323275500796245,2
"424",424,"Sat","16-Apr-2011",2011,"7:10","Port Adelaide","Adelaide",33143,"Football",2.78,1.42,NA,1.42,2.78,1.36,29323.4845360825,3819.51546391753,22682.2291666667,10460.7708333333,0.461187952756701,7
"425",425,"Sat","16-Apr-2011",2011,"7:10","Sydney","Geelong",25300,"S.C.G.",2.07,1.72,NA,1.72,2.07,0.35,29955.7356321839,-4655.73563218391,29955.7356321839,-4655.73563218391,-0.155420507423021,7
"426",426,"Sat","16-Apr-2011",2011,"2:10","Hawthorn","West Coast",15063,"York",1.11,6.27,NA,1.11,6.27,5.16,14457.1578947368,605.842105263158,14457.1578947368,605.842105263158,0.0419060308861755,2
"427",427,"Sat","16-Apr-2011",2011,"2:10","Carlton","Essendon",78065,"M.C.G.",1.89,1.86,NA,1.86,1.89,0.0299999999999998,50394.4829157175,27670.5170842825,52695.2941176471,25369.7058823529,0.481441584246835,2
"428",428,"Fri","15-Apr-2011",2011,"7:40","Richmond","Collingwood",58050,"M.C.G.",9.79,1.05,NA,1.05,9.79,8.74,50394.4829157175,7655.51708428246,50149.0454545455,7900.95454545454,0.157549450320363,7
"429",429,"Sun","10-Apr-2011",2011,"4:40","St Kilda","Essendon",47762,"Docklands",1.81,1.95,NA,1.81,1.95,0.14,31157.9865168539,16604.0134831461,30626.3473684211,17135.6526315789,0.559506898600895,4
"430",430,"Sun","10-Apr-2011",2011,"2:10","Geelong","Port Adelaide",22420,"Kardinia",1.07,7.96,NA,1.07,7.96,6.89,24884.9718309859,-2464.97183098592,24884.9718309859,-2464.97183098592,-0.0990546361767072,2
"431",431,"Sun","10-Apr-2011",2011,"1:10","Melbourne","Brisbane Lions",24380,"M.C.G.",1.18,4.65,NA,1.18,4.65,3.47,50394.4829157175,-26014.4829157175,35367.7023809524,-10987.7023809524,-0.310670516919694,1
"432",432,"Sat","09-Apr-2011",2011,"7:10","Richmond","Hawthorn",46368,"M.C.G.",3.72,1.27,NA,1.27,3.72,2.45,50394.4829157175,-4026.48291571754,50149.0454545455,-3781.04545454546,-0.0753961599921688,7
"433",433,"Sat","09-Apr-2011",2011,"6:10","West Coast","Sydney",37288,"Subiaco",1.9,1.86,NA,1.86,1.9,0.0399999999999998,35153.3529411765,2134.64705882353,36141.247311828,1146.75268817204,0.0317297485135977,6
"434",434,"Sat","09-Apr-2011",2011,"2:40","Adelaide","Fremantle",33414,"Football",1.49,2.6,NA,1.49,2.6,1.11,29323.4845360825,4090.51546391753,35829.2040816327,-2415.20408163266,-0.0674088119883963,2
"435",435,"Sat","09-Apr-2011",2011,"2:10","Western Bulldogs","Gold Coast",21373,"Docklands",1.02,14.29,NA,1.02,14.29,13.27,31157.9865168539,-9784.98651685393,28841.2391304348,-7468.23913043478,-0.258943074417143,2
"436",436,"Fri","08-Apr-2011",2011,"7:50","Collingwood","Carlton",88181,"M.C.G.",1.22,4.32,NA,1.22,4.32,3.1,50394.4829157175,37786.5170842825,57107.1149425287,31073.8850574713,0.544133337654043,7
"437",437,"Sun","03-Apr-2011",2011,"4:40","Hawthorn","Melbourne",49905,"M.C.G.",1.41,2.83,NA,1.41,2.83,1.42,50394.4829157175,-489.482915717541,49782.9508196721,122.049180327871,0.00245162607515909,4
"438",438,"Sun","03-Apr-2011",2011,"2:10","Sydney","Essendon",28082,"Stadium",1.8,1.97,NA,1.8,1.97,0.17,33788.3,-5706.3,34104.0555555556,-6022.05555555555,-0.176578868919141,2
"439",439,"Sun","03-Apr-2011",2011,"1:10","Western Bulldogs","Brisbane Lions",22331,"Docklands",1.12,6.34,NA,1.12,6.34,5.22,31157.9865168539,-8826.98651685393,28841.2391304348,-6510.23913043478,-0.225726748458766,1
"440",440,"Sat","02-Apr-2011",2011,"6:50","Gold Coast","Carlton",27914,"Gabba",3.96,1.25,NA,1.25,3.96,2.71,20680.4862385321,7233.51376146789,17896.5,10017.5,0.559746319112676,6
"441",441,"Sat","02-Apr-2011",2011,"5:40","Fremantle","Geelong",37004,"Subiaco",1.67,2.15,NA,1.67,2.15,0.48,35153.3529411765,1850.64705882353,34175.9680851064,2828.03191489362,0.0827491384545754,5
"442",442,"Sat","02-Apr-2011",2011,"2:40","Port Adelaide","West Coast",23214,"Football",1.45,2.72,NA,1.45,2.72,1.27,29323.4845360825,-6109.48453608247,22682.2291666667,531.770833333332,0.0234443814770557,2
"443",443,"Sat","02-Apr-2011",2011,"2:10","North Melbourne","Collingwood",40578,"Docklands",6.7,1.1,NA,1.1,6.7,5.6,31157.9865168539,9420.01348314607,27670.4819277108,12907.5180722892,0.466472470772647,2
"444",444,"Fri","01-Apr-2011",2011,"7:40","St Kilda","Richmond",41465,"M.C.G.",1.23,4.15,NA,1.23,4.15,2.92,50394.4829157175,-8929.48291571754,42675.375,-1210.375,-0.0283623752573938,7
"445",445,"Sun","27-Mar-2011",2011,"4:10","West Coast","North Melbourne",35878,"Subiaco",1.61,2.27,NA,1.61,2.27,0.66,35153.3529411765,724.647058823532,36141.247311828,-263.247311827959,-0.00728384688986112,4
"446",446,"Sun","27-Mar-2011",2011,"2:10","Melbourne","Sydney",33951,"M.C.G.",1.78,1.99,NA,1.78,1.99,0.21,50394.4829157175,-16443.4829157175,35367.7023809524,-1416.70238095238,-0.0400563872001864,2
"447",447,"Sun","27-Mar-2011",2011,"1:10","Essendon","Western Bulldogs",42617,"Docklands",2.31,1.59,NA,1.59,2.31,0.72,31157.9865168539,11459.0134831461,36322.6666666667,6294.33333333334,0.173289406064166,1
"448",448,"Sat","26-Mar-2011",2011,"7:10","Brisbane Lions","Fremantle",23373,"Gabba",1.98,1.79,NA,1.79,1.98,0.19,20680.4862385321,2692.51376146789,20786.5428571429,2586.45714285714,0.124429404188699,7
"449",449,"Sat","26-Mar-2011",2011,"7:10","Adelaide","Hawthorn",42536,"Football",1.92,1.85,NA,1.85,1.92,0.0699999999999998,29323.4845360825,13212.5154639175,35829.2040816327,6706.79591836734,0.187187968314526,7
"450",450,"Sat","26-Mar-2011",2011,"2:10","Collingwood","Port Adelaide",35773,"Docklands",1.08,7.99,NA,1.08,7.99,6.91,31157.9865168539,4615.01348314607,35366.8421052632,406.15789473684,0.0114841436373647,2
"451",451,"Fri","25-Mar-2011",2011,"7:45","Geelong","St Kilda",42869,"M.C.G.",2.18,1.68,NA,1.68,2.18,0.5,50394.4829157175,-7525.48291571754,63025.65,-20156.65,-0.319816614346699,7
"452",452,"Thu","24-Mar-2011",2011,"7:40","Carlton","Richmond",60654,"M.C.G.",1.29,3.51,NA,1.29,3.51,2.22,50394.4829157175,10259.5170842825,52695.2941176471,7958.70588235294,0.151032573508071,7
"453",453,"Sun","02-Sep-2012",2012,"4:40","Brisbane Lions","Western Bulldogs",18289,"Gabba",1.2,4.56,NA,1.2,4.56,3.36,20680.4862385321,-2391.48623853211,20786.5428571429,-2497.54285714286,-0.120151911470196,4
"454",454,"Sun","02-Sep-2012",2012,"3:15","Richmond","Port Adelaide",27893,"M.C.G.",1.1,6.84,NA,1.1,6.84,5.74,50394.4829157175,-22501.4829157175,50149.0454545455,-22256.0454545455,-0.443797987635041,3
"455",455,"Sun","02-Sep-2012",2012,"1:10","Carlton","St Kilda",31393,"Docklands",1.97,1.8,NA,1.8,1.97,0.17,31157.9865168539,235.013483146067,32309.6481481481,-916.64814814815,-0.028370725176117,1
"456",456,"Sat","01-Sep-2012",2012,"7:40","Essendon","Collingwood",56491,"M.C.G.",5.25,1.15,NA,1.15,5.25,4.1,50394.4829157175,6096.51708428246,61878.2051282051,-5387.20512820513,-0.0870614316792706,7
"457",457,"Sat","01-Sep-2012",2012,"5:40","Fremantle","Melbourne",32687,"Subiaco",1.03,11.75,NA,1.03,11.75,10.72,35153.3529411765,-2466.35294117647,34175.9680851064,-1488.96808510638,-0.0435676929881984,5
"458",458,"Sat","01-Sep-2012",2012,"4:40","Greater Western Sydney","North Melbourne",6696,"Sydney",16,1.01,NA,1.01,16,14.99,10800.6603773585,-4104.66037735849,10800.6603773585,-4104.66037735849,-0.380037908234123,4
"459",459,"Sat","01-Sep-2012",2012,"1:40","Adelaide","Gold Coast",35463,"Football",1.01,16.82,NA,1.01,16.82,15.81,29323.4845360825,6139.51546391753,35829.2040816327,-366.204081632655,-0.0102208265859968,1
"460",460,"Sat","01-Sep-2012",2012,"1:45","Geelong","Sydney",20045,"Kardinia",1.65,2.2,NA,1.65,2.2,0.55,24884.9718309859,-4839.97183098592,24884.9718309859,-4839.97183098592,-0.194493763700361,1
"461",461,"Fri","31-Aug-2012",2012,"7:50","Hawthorn","West Coast",50023,"M.C.G.",1.25,3.9,NA,1.25,3.9,2.65,50394.4829157175,-371.482915717541,49782.9508196721,240.049180327871,0.00482191546253248,7
"462",462,"Sun","26-Aug-2012",2012,"4:40","Melbourne","Adelaide",18450,"M.C.G.",6.16,1.12,NA,1.12,6.16,5.04,50394.4829157175,-31944.4829157175,35367.7023809524,-16917.7023809524,-0.478337614321918,4
"463",463,"Sun","26-Aug-2012",2012,"3:15","North Melbourne","Fremantle",26482,"Docklands",1.27,3.67,NA,1.27,3.67,2.4,31157.9865168539,-4675.98651685393,27670.4819277108,-1188.48192771084,-0.0429512550889339,3
"464",464,"Sun","26-Aug-2012",2012,"1:10","Geelong","Western Bulldogs",18047,"Kardinia",1.02,15.55,NA,1.02,15.55,14.53,24884.9718309859,-6837.97183098592,24884.9718309859,-6837.97183098592,-0.274783185507629,1
"465",465,"Sat","25-Aug-2012",2012,"7:40","Gold Coast","Carlton",15251,"Carrara",13.6,1.02,NA,1.02,13.6,12.58,14013.1604938272,1237.83950617284,14048.65,1202.35,0.0855847358998908,7
"466",466,"Sat","25-Aug-2012",2012,"5:40","West Coast","Collingwood",40527,"Subiaco",1.68,2.16,NA,1.68,2.16,0.48,35153.3529411765,5373.64705882353,36141.247311828,4385.75268817204,0.12135034107516,5
"467",467,"Sat","25-Aug-2012",2012,"4:40","Sydney","Hawthorn",31167,"S.C.G.",1.97,1.79,NA,1.79,1.97,0.18,29955.7356321839,1211.26436781609,29955.7356321839,1211.26436781609,0.0404351401243751,4
"468",468,"Sat","25-Aug-2012",2012,"1:40","Port Adelaide","Brisbane Lions",13953,"Football",2.22,1.64,NA,1.64,2.22,0.58,29323.4845360825,-15370.4845360825,22682.2291666667,-8729.22916666667,-0.384848821627063,1
"469",469,"Sat","25-Aug-2012",2012,"1:45","St Kilda","Greater Western Sydney",17327,"Docklands",1.01,20.4,NA,1.01,20.4,19.39,31157.9865168539,-13830.9865168539,30626.3473684211,-13299.3473684211,-0.434245298939372,1
"470",470,"Fri","24-Aug-2012",2012,"7:50","Richmond","Essendon",47590,"M.C.G.",1.59,2.3,NA,1.59,2.3,0.71,50394.4829157175,-2804.48291571754,50149.0454545455,-2559.04545454546,-0.0510287968863724,7
"471",471,"Sun","19-Aug-2012",2012,"4:40","Hawthorn","Gold Coast",23098,"M.C.G.",1.01,23.58,NA,1.01,23.58,22.57,50394.4829157175,-27296.4829157175,49782.9508196721,-26684.9508196721,-0.536025896020759,4
"472",472,"Sun","19-Aug-2012",2012,"3:15","Western Bulldogs","Sydney",19396,"Docklands",8.66,1.06,NA,1.06,8.66,7.6,31157.9865168539,-11761.9865168539,28841.2391304348,-9445.23913043478,-0.327490753352122,3
"473",473,"Sun","19-Aug-2012",2012,"12:40","Port Adelaide","West Coast",13683,"Football",5.64,1.13,NA,1.13,5.64,4.51,29323.4845360825,-15640.4845360825,22682.2291666667,-8999.22916666667,-0.396752413554297,12
"474",474,"Sat","18-Aug-2012",2012,"7:40","Brisbane Lions","Adelaide",18979,"Gabba",4.29,1.21,NA,1.21,4.29,3.08,20680.4862385321,-1701.48623853211,20786.5428571429,-1807.54285714286,-0.0869573584008335,7
"475",475,"Sat","18-Aug-2012",2012,"7:40","Collingwood","North Melbourne",44956,"Docklands",1.31,3.42,NA,1.31,3.42,2.11,31157.9865168539,13798.0134831461,35366.8421052632,9589.15789473684,0.271134128011667,7
"476",476,"Sat","18-Aug-2012",2012,"2:40","Fremantle","Richmond",32721,"Subiaco",1.39,2.95,NA,1.39,2.95,1.56,35153.3529411765,-2432.35294117647,34175.9680851064,-1454.96808510638,-0.0425728418719014,2
"477",477,"Sat","18-Aug-2012",2012,"2:10","Greater Western Sydney","Melbourne",7561,"Manuka",4.55,1.19,NA,1.19,4.55,3.36,10349.7083333333,-2788.70833333333,10313.8095238095,-2752.80952380952,-0.266905212613694,2
"478",478,"Sat","18-Aug-2012",2012,"1:45","Essendon","Carlton",59381,"M.C.G.",2.05,1.74,NA,1.74,2.05,0.31,50394.4829157175,8986.51708428246,61878.2051282051,-2497.20512820513,-0.040356780275562,1
"479",479,"Fri","17-Aug-2012",2012,"7:50","Geelong","St Kilda",38169,"Docklands",1.31,3.38,NA,1.31,3.38,2.07,31157.9865168539,7011.01348314607,39256,-1087,-0.0276900346443856,7
"480",480,"Sun","12-Aug-2012",2012,"4:40","Essendon","North Melbourne",42674,"Docklands",2.19,1.65,NA,1.65,2.19,0.54,31157.9865168539,11516.0134831461,36322.6666666667,6351.33333333334,0.17485867410616,4
"481",481,"Sun","12-Aug-2012",2012,"3:15","Richmond","Western Bulldogs",28286,"M.C.G.",1.14,5.62,NA,1.14,5.62,4.48,50394.4829157175,-22108.4829157175,50149.0454545455,-21863.0454545455,-0.435961347945533,3
"482",482,"Sun","12-Aug-2012",2012,"1:10","Hawthorn","Port Adelaide",14431,"York",1.01,19.5,NA,1.01,19.5,18.49,14457.1578947368,-26.1578947368416,14457.1578947368,-26.1578947368416,-0.00180933866305524,1
"483",483,"Sat","11-Aug-2012",2012,"7:40","Carlton","Brisbane Lions",25977,"Docklands",1.19,4.68,NA,1.19,4.68,3.49,31157.9865168539,-5180.98651685393,32309.6481481481,-6332.64814814815,-0.195998672567133,7
"484",484,"Sat","11-Aug-2012",2012,"7:40","Sydney","Collingwood",45827,"Stadium",1.59,2.34,NA,1.59,2.34,0.75,33788.3,12038.7,34104.0555555556,11722.9444444444,0.343740480522844,7
"485",485,"Sat","11-Aug-2012",2012,"4:40","Gold Coast","Greater Western Sydney",14657,"Carrara",1.36,3.08,NA,1.36,3.08,1.72,14013.1604938272,643.839506172839,14048.65,608.35,0.0433030931797717,4
"486",486,"Sat","11-Aug-2012",2012,"1:40","Adelaide","Fremantle",35027,"Football",1.4,2.91,NA,1.4,2.91,1.51,29323.4845360825,5703.51546391753,35829.2040816327,-802.204081632655,-0.0223896707223785,1
"487",487,"Sat","11-Aug-2012",2012,"1:45","St Kilda","Melbourne",23464,"M.C.G.",1.05,9.67,NA,1.05,9.67,8.62,50394.4829157175,-26930.4829157175,42675.375,-19211.375,-0.450174720198709,1
"488",488,"Fri","10-Aug-2012",2012,"6:40","West Coast","Geelong",37812,"Subiaco",1.68,2.15,NA,1.68,2.15,0.47,35153.3529411765,2658.64705882353,36141.247311828,1670.75268817204,0.0462284180110533,6
"489",489,"Sun","05-Aug-2012",2012,"4:10","Adelaide","Essendon",40030,"Football",1.15,5.45,NA,1.15,5.45,4.3,29323.4845360825,10706.5154639175,35829.2040816327,4200.79591836734,0.117245024723305,4
"490",490,"Sun","05-Aug-2012",2012,"3:15","Carlton","Sydney",36942,"Docklands",2.97,1.39,NA,1.39,2.97,1.58,31157.9865168539,5784.01348314607,32309.6481481481,4632.35185185185,0.143373639682218,3
"491",491,"Sun","05-Aug-2012",2012,"1:10","Melbourne","Gold Coast",18097,"M.C.G.",1.39,3.02,NA,1.39,3.02,1.63,50394.4829157175,-32297.4829157175,35367.7023809524,-17270.7023809524,-0.488318471890718,1
"492",492,"Sat","04-Aug-2012",2012,"7:40","Brisbane Lions","Richmond",22193,"Gabba",2.21,1.64,NA,1.64,2.21,0.57,20680.4862385321,1512.51376146789,20786.5428571429,1406.45714285714,0.067661907635297,7
"493",493,"Sat","04-Aug-2012",2012,"7:40","Collingwood","St Kilda",57873,"M.C.G.",1.4,2.94,NA,1.4,2.94,1.54,50394.4829157175,7478.51708428246,57107.1149425287,765.885057471263,0.0134113771680119,7
"494",494,"Sat","04-Aug-2012",2012,"2:40","Fremantle","West Coast",39694,"Subiaco",2.59,1.49,NA,1.49,2.59,1.1,35153.3529411765,4540.64705882353,34175.9680851064,5518.03191489362,0.161459417949841,2
"495",495,"Sat","04-Aug-2012",2012,"2:10","Greater Western Sydney","Port Adelaide",6811,"Sydney",6.7,1.1,NA,1.1,6.7,5.6,10800.6603773585,-3989.66037735849,10800.6603773585,-3989.66037735849,-0.369390411138383,2
"496",496,"Sat","04-Aug-2012",2012,"1:45","Western Bulldogs","North Melbourne",21599,"Docklands",7.84,1.08,NA,1.08,7.84,6.76,31157.9865168539,-9558.98651685393,28841.2391304348,-7242.23913043478,-0.251107072677484,1
"497",497,"Fri","03-Aug-2012",2012,"7:50","Hawthorn","Geelong",65287,"M.C.G.",1.29,3.61,NA,1.29,3.61,2.32,50394.4829157175,14892.5170842825,49782.9508196721,15504.0491803279,0.311432908758018,7
"498",498,"Sun","29-Jul-2012",2012,"2:40","West Coast","Brisbane Lions",35767,"Subiaco",1.14,5.66,NA,1.14,5.66,4.52,35153.3529411765,613.647058823532,36141.247311828,-374.247311827959,-0.0103551299322611,2
"499",499,"Sun","29-Jul-2012",2012,"3:15","St Kilda","Western Bulldogs",23498,"Docklands",1.14,5.54,NA,1.14,5.54,4.4,31157.9865168539,-7659.98651685393,30626.3473684211,-7128.34736842105,-0.232752122957082,3
"500",500,"Sun","29-Jul-2012",2012,"12:40","Port Adelaide","Fremantle",14583,"Football",2.45,1.54,NA,1.54,2.45,0.91,29323.4845360825,-14740.4845360825,22682.2291666667,-8099.22916666667,-0.357073773796851,12
"501",501,"Sat","28-Jul-2012",2012,"7:40","Carlton","Richmond",46013,"M.C.G.",2.34,1.58,NA,1.58,2.34,0.76,50394.4829157175,-4381.48291571754,52695.2941176471,-6682.29411764706,-0.126810073452256,7
"502",502,"Sat","28-Jul-2012",2012,"7:40","Gold Coast","Sydney",11169,"Carrara",9.98,1.05,NA,1.05,9.98,8.93,14013.1604938272,-2844.16049382716,14048.65,-2879.65,-0.204976990671702,7
"503",503,"Sat","28-Jul-2012",2012,"4:40","Greater Western Sydney","Collingwood",8102,"Sydney",22.17,1.01,NA,1.01,22.17,21.16,10800.6603773585,-2698.66037735849,10800.6603773585,-2698.66037735849,-0.249860682872291,4
"504",504,"Sat","28-Jul-2012",2012,"2:10","North Melbourne","Melbourne",20816,"Docklands",1.09,7.67,NA,1.09,7.67,6.58,31157.9865168539,-10341.9865168539,27670.4819277108,-6854.48192771084,-0.24771819824527,2
"505",505,"Sat","28-Jul-2012",2012,"1:45","Geelong","Adelaide",18377,"Kardinia",1.61,2.27,NA,1.61,2.27,0.66,24884.9718309859,-6507.97183098592,24884.9718309859,-6507.97183098592,-0.261522169893816,1
"506",506,"Fri","27-Jul-2012",2012,"7:50","Essendon","Hawthorn",44899,"Docklands",5.2,1.16,NA,1.16,5.2,4.04,31157.9865168539,13741.0134831461,36322.6666666667,8576.33333333334,0.236115189780486,7
"507",507,"Sun","22-Jul-2012",2012,"2:40","Fremantle","Greater Western Sydney",28767,"Subiaco",1.01,21.83,NA,1.01,21.83,20.82,35153.3529411765,-6386.35294117647,34175.9680851064,-5408.96808510638,-0.158268174631857,2
"508",508,"Sun","22-Jul-2012",2012,"3:15","Richmond","North Melbourne",47432,"M.C.G.",2.1,1.73,NA,1.73,2.1,0.37,50394.4829157175,-2962.48291571754,50149.0454545455,-2717.04545454546,-0.0541794052093804,3
"509",509,"Sun","22-Jul-2012",2012,"1:10","Sydney","St Kilda",26834,"S.C.G.",1.36,3.11,NA,1.36,3.11,1.75,29955.7356321839,-3121.73563218391,29955.7356321839,-3121.73563218391,-0.104211616450172,1
"510",510,"Sat","21-Jul-2012",2012,"7:10","Melbourne","Port Adelaide",6714,"Marrara",2.24,1.63,NA,1.63,2.24,0.61,9208.53846153846,-2494.53846153846,8950.11111111111,-2236.11111111111,-0.249841715186652,7
"511",511,"Sat","21-Jul-2012",2012,"7:40","Western Bulldogs","Carlton",24615,"Docklands",2.35,1.58,NA,1.58,2.35,0.77,31157.9865168539,-6542.98651685393,28841.2391304348,-4226.23913043478,-0.146534589284516,7
"512",512,"Sat","21-Jul-2012",2012,"4:40","Gold Coast","Brisbane Lions",16550,"Carrara",3.95,1.25,NA,1.25,3.95,2.7,14013.1604938272,2536.83950617284,14048.65,2501.35,0.178049136393888,4
"513",513,"Sat","21-Jul-2012",2012,"1:40","Adelaide","West Coast",40724,"Football",1.43,2.78,NA,1.43,2.78,1.35,29323.4845360825,11400.5154639175,35829.2040816327,4894.79591836734,0.136614698646811,1
"514",514,"Sat","21-Jul-2012",2012,"1:45","Collingwood","Hawthorn",83714,"M.C.G.",1.9,1.88,NA,1.88,1.9,0.02,50394.4829157175,33319.5170842825,57107.1149425287,26606.8850574713,0.4659119110508,1
