"","...1","Round","Day","Date","Year","Time","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket"
"26",206,8,"Sat",2010-05-15,2010,1899-12-31 07:10:00,"Brisbane Lions","Geelong",33629,"Gabba",3.38,1.31,"NA",1.31,3.38,2.07,20680.4862385321,12948.5137614679,20786.5428571429,12842.4571428571,0.61782554372403,7
"27",212,7,"Sun",2010-05-09,2010,1899-12-31 01:10:00,"Geelong","Sydney",25970,"Kardinia",1.27,3.71,"NA",1.27,3.71,2.44,24884.9718309859,1085.02816901408,24884.9718309859,1085.02816901408,0.0436017439112808,1
"28",220,6,"Sun",2010-05-02,2010,1899-12-31 01:10:00,"Geelong","Richmond",24106,"Kardinia",1.03,12.25,"NA",1.03,12.25,11.22,24884.9718309859,-778.971830985916,24884.9718309859,-778.971830985916,-0.0313029018588628,1
"29",226,5,"Mon",2010-04-26,2010,1899-12-31 02:10:00,"Carlton","Geelong",71399,"M.C.G.",4.38,1.19,"NA",1.19,4.38,3.19,50394.4829157175,21004.5170842825,52695.2941176471,18703.7058823529,0.354940724699158,2
"30",235,4,"Sun",2010-04-18,2010,1899-12-31 02:10:00,"Geelong","Port Adelaide",25539,"Kardinia",1.13,5.7,"NA",1.13,5.7,4.57,24884.9718309859,654.028169014084,24884.9718309859,654.028169014084,0.0262820538217251,2
"31",242,3,"Sun",2010-04-11,2010,1899-12-31 02:40:00,"Fremantle","Geelong",38762,"Subiaco",2.05,1.72,"NA",1.72,2.05,0.33,35153.3529411765,3608.64705882353,34175.9680851064,4586.03191489362,0.134188793232522,2
"32",250,2,"Mon",2010-04-05,2010,1899-12-31 02:10:00,"Hawthorn","Geelong",68628,"M.C.G.",2.4,1.56,"NA",1.56,2.4,0.84,50394.4829157175,18233.5170842825,49782.9508196721,18845.0491803279,0.378544237937802,2
"33",264,1,"Fri",2010-03-26,2010,1899-12-31 07:40:00,"Geelong","Essendon",57772,"M.C.G.",1.21,4.28,"NA",1.21,4.28,3.07,50394.4829157175,7377.51708428246,63025.65,-5253.65,-0.0833573314991595,7
"34",273,24,"Fri",2011-09-02,2011,1899-12-31 07:40:00,"Collingwood","Geelong",85705,"M.C.G.",1.35,3.14,"NA",1.35,3.14,1.79,50394.4829157175,35310.5170842825,57107.1149425287,28597.8850574713,0.500776218274229,7
"35",279,23,"Sat",2011-08-27,2011,1899-12-31 02:10:00,"Geelong","Sydney",25900,"Kardinia",1.07,8.35,"NA",1.07,8.35,7.28,24884.9718309859,1015.02816901408,24884.9718309859,1015.02816901408,0.0407888012053204,2
