"","...1","Round","Day","Date","Year","Time","Home","Away","Attendance","Venue","Home.Odds","Away.Odds","Line","Favorite","Underdog","Differential","venueavg","Attendance_Differential","HomeVenueAvg","HomeDifferential","HomeDifferentialPct","TimeBucket"
"25",205,8,"Sat",2010-05-15,2010,1899-12-31 07:10:00,"North Melbourne","Adelaide",16479,"Docklands",1.61,2.24,"NA",1.61,2.24,0.63,31157.9865168539,-14678.9865168539,27670.4819277108,-11191.4819277108,-0.404455620142381,7
"26",213,7,"Sat",2010-05-08,2010,1899-12-31 07:10:00,"Collingwood","North Melbourne",52696,"M.C.G.",1.19,4.55,"NA",1.19,4.55,3.36,50394.4829157175,2301.51708428246,57107.1149425287,-4411.11494252874,-0.0772428259940636,7
"27",224,6,"Sat",2010-05-01,2010,1899-12-31 02:10:00,"North Melbourne","Melbourne",26763,"Docklands",1.99,1.75,"NA",1.75,1.99,0.24,31157.9865168539,-4394.98651685393,27670.4819277108,-907.481927710844,-0.0327960289987591,2
"28",228,5,"Sun",2010-04-25,2010,1899-12-31 05:40:00,"Hawthorn","North Melbourne",16301,"York",1.32,3.28,"NA",1.32,3.28,1.96,14457.1578947368,1843.84210526316,14457.1578947368,1843.84210526316,0.127538352882928,5
"29",240,4,"Sat",2010-04-17,2010,1899-12-31 02:10:00,"North Melbourne","Sydney",23646,"Docklands",2.57,1.48,"NA",1.48,2.57,1.09,31157.9865168539,-7511.98651685393,27670.4819277108,-4024.48192771084,-0.145443145450983,2
"30",248,3,"Sat",2010-04-10,2010,1899-12-31 02:10:00,"North Melbourne","West Coast",18394,"Docklands",1.85,1.91,"NA",1.85,1.91,0.0599999999999998,31157.9865168539,-12763.9865168539,27670.4819277108,-9276.48192771084,-0.335248296431759,2
"31",254,2,"Sat",2010-04-03,2010,1899-12-31 07:10:00,"St Kilda","North Melbourne",32006,"Docklands",1.13,5.58,"NA",1.13,5.58,4.45,31157.9865168539,848.013483146067,30626.3473684211,1379.65263157895,0.0450478999334251,7
"32",260,1,"Sun",2010-03-28,2010,1899-12-31 12:40:00,"Port Adelaide","North Melbourne",21205,"Football",1.41,2.83,"NA",1.41,2.83,1.42,29323.4845360825,-8118.48453608247,22682.2291666667,-1477.22916666667,-0.0651271599370653,12
"33",266,24,"Sun",2011-09-04,2011,1899-12-31 04:40:00,"Richmond","North Melbourne",32890,"Docklands",2.2,1.64,"NA",1.64,2.2,0.56,31157.9865168539,1732.01348314607,33203.6363636364,-313.63636363636,-0.00944584382871527,4
"34",277,23,"Sat",2011-08-27,2011,1899-12-31 07:10:00,"St Kilda","North Melbourne",35848,"Docklands",1.71,2.08,"NA",1.71,2.08,0.37,31157.9865168539,4690.01348314607,30626.3473684211,5221.65263157895,0.170495442005044,7
"35",286,22,"Sat",2011-08-20,2011,1899-12-31 07:10:00,"North Melbourne","Fremantle",17581,"Docklands",1.34,3.18,"NA",1.34,3.18,1.84,31157.9865168539,-13576.9865168539,27670.4819277108,-10089.4819277108,-0.364629786863475,7
"36",299,20,"Sun",2011-08-07,2011,1899-12-31 02:10:00,"Hawthorn","North Melbourne",16820,"York",1.17,4.82,"NA",1.17,4.82,3.65,14457.1578947368,2362.84210526316,14457.1578947368,2362.84210526316,0.163437525028578,2
"37",312,19,"Fri",2011-07-29,2011,1899-12-31 07:40:00,"North Melbourne","Carlton",41332,"Docklands",3.52,1.3,"NA",1.3,3.52,2.22,31157.9865168539,10174.0134831461,27670.4819277108,13661.5180722892,0.493721725121372,7
"38",318,18,"Sat",2011-07-23,2011,1899-12-31 02:10:00,"North Melbourne","Brisbane Lions",20809,"Docklands",1.12,6.24,"NA",1.12,6.24,5.12,31157.9865168539,-10348.9865168539,27670.4819277108,-6861.48192771084,-0.247971175407659,2
"39",321,17,"Sun",2011-07-17,2011,1899-12-31 04:40:00,"North Melbourne","Western Bulldogs",22754,"Docklands",3.04,1.37,"NA",1.37,3.04,1.67,31157.9865168539,-8403.98651685393,27670.4819277108,-4916.48192771084,-0.177679663858228,4
"40",331,16,"Sun",2011-07-10,2011,1899-12-31 01:10:00,"Collingwood","North Melbourne",53601,"M.C.G.",1.07,8.28,"NA",1.07,8.28,7.21,50394.4829157175,3206.51708428246,57107.1149425287,-3506.11494252874,-0.0613954136197777,1
"41",336,15,"Sun",2011-07-03,2011,1899-12-31 04:40:00,"North Melbourne","St Kilda",29693,"Docklands",1.97,1.79,"NA",1.79,1.97,0.18,31157.9865168539,-1464.98651685393,27670.4819277108,2022.51807228916,0.0730929832582239,4
"42",344,14,"Sun",2011-06-26,2011,1899-12-31 04:10:00,"Port Adelaide","North Melbourne",17275,"Football",2.59,1.48,"NA",1.48,2.59,1.11,29323.4845360825,-12048.4845360825,22682.2291666667,-5407.22916666667,-0.238390553544579,4
"43",358,13,"Sat",2011-06-18,2011,1899-12-31 02:10:00,"Essendon","North Melbourne",42329,"Docklands",1.65,2.18,"NA",1.65,2.18,0.53,31157.9865168539,11171.0134831461,36322.6666666667,6006.33333333334,0.165360472799354,2
"44",365,12,"Sat",2011-06-11,2011,1899-12-31 07:10:00,"Gold Coast","North Melbourne",14945,"Carrara",3.34,1.32,"NA",1.32,3.34,2.02,14013.1604938272,931.839506172839,14048.65,896.35,0.0638032835895264,7
